First Name,Last Name,Email Address,Salt,Date of Birth,Street Name,Parish,Zip,Country,Contact Number
Khadija,Baptiste,KHADIJA.BAPTISTE@loyalty.kkhair.com,b4d419b1b673bd47,1970/11/19,Palm Grove #92,Dennery,6442,St. Lucia,216-0733-7
Renée,Holder,RENE.HOLDER@loyalty.kkhair.com,c752344fd8be7e12,1958-06-08,Sugar Cane Way #52,St. John Figtree,KN0101,St. Kitts & Nevis,+ 6024161394  
Tyrone,Forde,Tyrone.Forde@kkhairemporium.com,2b7fdd13888ad8__,1998/07,Mango Tree Drive #114,Arima,00000,Trinidad & Tobago,860-9191-9113
Latoya,Brathwaite,Latoya.Brathwaite@mail.kkhair.net,cc18cabdda4b86f9,1995/05/12,Sunset Blvd #164,St. Peter,BB14000,Barbados,+ 1251293  
Anaïs,Hernández,Anas.Hernndez@loyalty.kkhair.com,7f0348598d5d65b3,1980/11/27,Market Street #281,St. George Basseterre,KN0302,St. Kitts & Nevis,(421) 751
Keisha,Ramdeen,Keisha.Ramdeen@kkhairemporium.com,7d8949a229bee1e2,1971/01,Market Street #206,St. James,13,Jamaica,+1 (876) 974619
Anaïs,Charles,Anas.Charles.635@kandk-hair.co,8cd419af4f38e48c,1963/01/13,Coral Ridge #277,St. Philip,BB23026,Barbados,+1 (246) 8397283
Kareem,Alleyne,Kareem.Alleyne@kandk-hair.co,4f98f1c6d2a4fca9,1968-12-06,Independence Ave #133,St. Philip,BB17001,Barbados,137-3714
Noël,Best,Nol.Best@kkhairemporium.com,a57a3d675d8f2112,1996/09/23,Sunset Blvd #65,Dennery,LC12 301,St. Lucia,304948414235
Sade,Joseph,Sade.Joseph@loyalty.kkhair.com,9cbd92a9d6a3eaf6,1961/02/05,Market Street #188,Kingston,61889,Jamaica,(656) 00337522
Shanice,Forde,SHANICE.FORDE@mail.kkhair.net,18363acf274360b9,2003/08/02,Seaview Terrace #90,St. James,BB14000,Barbados,5940942
Dwayne,Forde,Dwayne.Forde@mail.kkhair.net,b2b2feb26f8a625e,1978/12/18,Coconut Walk #172,Micoud,LC04 101,St. Lucia,+ 213461646152  
Kareem,Williams,Kareem.Williams@loyalty.kkhair.com,a2e190faa60b6caf,2001/10,Coral Ridge #190,Port of Spain,69433,Trinidad & Tobago,(967) 2128156
D’Andre,Brathwaite,DAndre.Brathwaite@loyalty.kkhair.com,2b1e973cc03d32ab,1994-03-07,Seaview Terrace #146,Castries,5513,St. Lucia,+1 (758) 004584
Kofi St.,Clair,Kofi.Clair@mail.kkhair.net,83599b9de626e2f8,1955/01/18,Harbour View #165,St. Thomas Lowland,KN0101,St. Kitts & Nevis,+1 (869) 034011761706
Dwayne,Williams,Dwayne.Williams@kandk-hair.co,ebe473d24427a332,1973-08-12,Palm Grove #244,St. Thomas Lowland,KN0503,St. Kitts & Nevis,(469) 4841232223208
Tyrone,Pérez,TYRONE.PREZ@mail.kkhair.net,36f6924a27dc96d9,1993/05/10 ,Sugar Cane Way #100,St. George Basseterre,KN0503,St. Kitts & Nevis,+ 68150895  
Zoë,Baptiste,Zo.Baptiste@kandk-hair.co,526cf2d17792fec0,1999/3/29,Palm Grove #242,St. Andrew,99877,Jamaica,(503) 916
Kirsten  De  la ,Cruz,Kirsten.Cruz@loyalty.kkhair.com,ecc78083e88eda54,1990/12/26,Queen's Road #59,St. Thomas,BB17001,Barbados,713-528
Shanice,Campbell,Shanice.Campbell@kandk-hair.co,8fcb602ec5e187a4,2001/08/08,Cedar Park #181,Dennery,LC10 201,St. Lucia,029-9738
Devon,Clarke,Devon.Clarke@kkhairemporium.com,4414a26005b1229e,1994/12,Coral Ridge #29,St. Philip,BB23026,Barbados,839-0497-574
Aaliyah ,Dottin,Aaliyah.Dottin@loyalty.kkhair.com,f2a34a8b7a77a92d,1974/12/29,Bay Street #174,Christ Church,27494,Barbados,+1 (246) 209018
Kofi,Singh,Kofi.Singh@kkhairemporium.com,55686be6a9b54a2f,1998/8/12,Coral Ridge #139,St. George,68353,Barbados,(128) 89563
Latoya,García,Latoya.Garca@kandk-hair.co,f631495c9ad78d9b,1963/12/06,Bamboo Crescent #294,Port of Spain,TT6672,Trinidad & Tobago,(632) 7502
Chloë,Best,Chlo.Best.422@loyalty.kkhair.com,a022db7c8e0cddff,1963/11/21,Hibiscus Lane #136,Castries,LC12 301,St. Lucia,+1 (758) 64915350904
Keisha,Dottin,KEISHA.DOTTIN@kkhairemporium.com,b034ad86874edf2a,1971/07/09,Sugar Cane Way #291,Dennery,LC12 301,St. Lucia,+1 (758) 7007191035
Jermaine,Charles-O'Connor,Jermaine.Charles-OConnor@kkhairemporium.com,3b6b6ea5f2ecc3c5,1972/01,Palm Grove #57,St. Peter,BB14000,Barbados,(774) 460
Keisha,Singh,Keisha.Singh.738@loyalty.kkhair.com,2fa6412120f5744f,1994/06/16,Bamboo Crescent #18,Port of Spain,91904,Trinidad & Tobago,442-5374-2
José,Joseph,Jos.Joseph@kkhairemporium.com,fe5fd640bb2be08b,1971/12/07,Hibiscus Lane #6,Chaguanas,TT5098,Trinidad & Tobago,988-2687-4
Mikaël,Forde,Mikal.Forde@mail.kkhair.net,8f2795229e9ceaf7,1983-05-31,Seaview Terrace #129,Castries,6461,St. Lucia,+1 (758) 1243219792476174
Zoë,Baptiste,Zo.Baptiste@kandk-hair.co,526cf2d17792fec0,1999/3/29,Palm Grove #242,St. Andrew,99877,Jamaica,(503) 916
Kofi,Singh,Kofi.Singh@kkhairemporium.com,55686be6a9b54a2f,1998/8/12,Coral Ridge #139,St. George,68353,Barbados,(128) 89563
Sade,Joseph,Sade.Joseph@loyalty.kkhair.com,9cbd92a9d6a3eaf6,1961/02/05,Market Street #188,Kingston,61889,Jamaica,(656) 00337522
Shanice,Campbell,Shanice.Campbell@kandk-hair.co,8fcb602ec5e187a4,2001/08/08,Cedar Park #181,Dennery,LC10 201,St. Lucia,029-9738
Chloë,Best,Chlo.Best.422@loyalty.kkhair.com,a022db7c8e0cddff,1963/11/21,Hibiscus Lane #136,Castries,LC12 301,St. Lucia,+1 (758) 64915350904
Dwayne,Williams,Dwayne.Williams@kandk-hair.co,ebe473d24427a332,1973-08-12,Palm Grove #244,St. Thomas Lowland,KN0503,St. Kitts & Nevis,(469) 4841232223208
Tyrone,Pérez,TYRONE.PREZ@mail.kkhair.net,36f6924a27dc96d9,1993/05/10 ,Sugar Cane Way #100,St. George Basseterre,KN0503,St. Kitts & Nevis,+ 68150895  
José,Joseph,Jos.Joseph@kkhairemporium.com,fe5fd640bb2be08b,1971/12/07,Hibiscus Lane #6,Chaguanas,TT5098,Trinidad & Tobago,988-2687-4
Kareem,Williams,Kareem.Williams@loyalty.kkhair.com,a2e190faa60b6caf,2001/10,Coral Ridge #190,Port of Spain,69433,Trinidad & Tobago,(967) 2128156
Anaïs,Charles,Anas.Charles.635@kandk-hair.co,8cd419af4f38e48c,1963/01/13,Coral Ridge #277,St. Philip,BB23026,Barbados,+1 (246) 8397283
Kofi St.,Clair,Kofi.Clair@mail.kkhair.net,83599b9de626e2f8,1955/01/18,Harbour View #165,St. Thomas Lowland,KN0101,St. Kitts & Nevis,+1 (869) 034011761706
Shanice,Forde,SHANICE.FORDE@mail.kkhair.net,18363acf274360b9,2003/08/02,Seaview Terrace #90,St. James,BB14000,Barbados,5940942
Kirsten  De  la ,Cruz,Kirsten.Cruz@loyalty.kkhair.com,ecc78083e88eda54,1990/12/26,Queen's Road #59,St. Thomas,BB17001,Barbados,713-528
