First Name,Last Name,Email Address,Salt,Date of Birth,Street Name,Parish,Zip,Country,Contact Number
Rohan,Williams,Rohan.Williams@kkhairemporium.com,f244f58d669cbee3,,Coral Ridge #284,St. Peter Basseterre,KN0101,St. Kitts & Nevis,1051834
Tyrone,Campbell,Tyrone.Campbell@loyalty.kkhair.com,d7f78df0cac5e40c,,Harbour View #70,St. Ann,15,Jamaica,+ 7556464  
Kareem,Campbell,KAREEM.CAMPBELL@KANDK-HAIR.CO,359309cc6273931b,,Seaview Terrace #175,St. Michael,65057,Barbados,726-2849-87769
José,Baptiste,JOS.BAPTISTE@mail.kkhair.net,bfe16849ef307590,,Cedar Park #59,Diego Martin,25396,Trinidad & Tobago,7737826398
Sade ,Núñez,Sade.Nez@mail.kkhair.net,fcc4f14a3e3e04d4,,Sugar Cane Way #204,Couva-Tabaquite-Talparo,TT6383,Trinidad & Tobago,780-9134-31611
Noël De la,Cruz,Nol.Cruz-615@loyalty.kkhair.com,d080589ab054c240,,Harbour View #233,Vieux Fort,LC12 301,St. Lucia,991-0229-014767976
Dwayne De la,Cruz,DWAYNE.CRUZ-614@kkhairemporium.com,c7b2c1d0e2adcd93,,Coral Ridge #236,St. Peter,BB14000,Barbados,+1 (246) 9681645352
Marlon St.,Clair,Marlon.Clair-940@loyalty.kkhair.com,29ca42db0b956af6,,Coconut Walk #52,St. George,BB14000,Barbados,+ 62229270653  
Marlon,Charles,Marlon.Charles@kandk-hair.co,,,,,,,
Khadija,Best,Khadija.Bestkkhairemporium.com,a7b92868492545a1,,Seaview Terrace #296,Chaguanas,TT4453,Trinidad & Tobago,+1 (868) 8447364710
Khadija,Dottin,Khadija.Dottin@kandk-hair.co,,,,,,,
Shanice,Charles,Shanice.Charles@mail.kkhair.net,1cf591093a9ef4e8,,Sugar Cane Way #235,Clarendon,09,Jamaica,+ 32966851612  
Tanesha,Alleyne,Tanesha.Alleyne@kkhairemporium.com,9b774f4ebdf672eb,,Cedar Park #281,St. George,BB17001,Barbados,+ 397187  
