First Name,Last Name,Email Address,Salt,Date of Birth,Contact Number,Address
Tanesha,García,Tanesha.Garca@@mail.kkhair.net,a5c9af9f0ba3d90f,2006/11/24,309-1307,"Sugar Cane Way #27, St. Paul Charlestown, KN0302, St. Kitts & Nevis"
Kofi,Morris,Kofi.Morris@ kkhairemporium.com,47d9815df1bcadd4,1971/07/01,866-882,"Mango Tree Drive #124, St. Peter, BB23026, Barbados"
Sofía,Greenidge,Sofa.Greenidge-387@@kkhairemporium.com,b98bfe3fa6bad1__,2006/12/16,8547772522,"Coconut Walk #79, Christ Church, BB17001, Barbados"
Rashida,García,RASHIDA.GARCA@domain_with_space.mail.kkhair.net,76bd54661b85a998,2001/02/24,(232) 536729466,"Seaview Terrace #49, Gros Islet, LC04 101, St. Lucia"
Jéssica,Jean-Baptiste,Jssica.Jean-Baptiste@@loyalty.kkhair.com,c9367df148217dbe,1962/08/14,+1 (758) 2344565574,"Market Street #69, Dennery, LC04 101, St. Lucia"
Sofía De la,Cruz,Sofa.Cruz@,9e3f12f63c9d1446,2006/01/31,(007) 43292,"Mango Tree Drive #74, Chaguanas, 33639, Trinidad & Tobago"
Mikaël,Thompson,Mikal.Thompson@,afeeb9f352846822,2000/07/02,(872) 56394278,"Cedar Park #298, St. George, BB17001, Barbados"
Noël,Pérez,Nol.Prez_184@,bcfe11a3885ccb28,1974/12/30,+1 (876) 3184322,"Queen's Road #177, St. James, 16, Jamaica"
Latoya,Núñez,Latoya.Nez@#.kkhairemporium.com,751b70528cbcc602,2004/04/22,(690) 4268181,"Cedar Park #287, Manchester, 55544, Jamaica"
Rohan,Campbell-Pérez,Rohan.Campbell-Prez@,13ee17c1c169ec99,1992/11/25,(812) 982665702,"Bay Street #28, Clarendon, 28643, Jamaica"
Tanesha ,Best,TANESHA.BEST-722loyalty.kkhair.com,27f291a0fefadb99,1982/04/12,9047128144294440,"Coral Ridge #134, St. George Basseterre, KN0302, St. Kitts & Nevis"
Anaïs,Joseph,Anas.Josephloyalty.kkhair.com,595545731a4e8b56,1958/02/10,+1 (876) 672752,"Queen's Road #76, St. Catherine, 15, Jamaica"
José,Best,Jos.Best-954@,42ad483a14f8bd98,1978/08/30,(320) 320,"Harbour View #85, Chaguanas, TT3478, Trinidad & Tobago"
