First Name,Last Name,Email Address,Salt,Date of Birth,Contact Number,Address
Shanice,O'Connor,Shanice.OConnor@KKHAIREMPORIUM.COM,e805da846a32c3bb,1958/11/24,31034131647,"Market Street #64, St. Thomas, BB23026, Barbados"
Renée,Lewis,RENE.LEWIS@kandk-hair.co,78dcb74f21345d2c,1996/12/28,+ 62704828  ,"Market Street #6, Clarendon, 99353, Jamaica"
Devon,Baptiste,Devon.Baptiste.442@loyalty.kkhair.com,e4d58e72e310275d,1974/03/06,(687) 23430,"Bay Street #31, St. Peter Basseterre, KN0101, St. Kitts & Nevis"
Devon,Baptiste,Devon.Baptiste@KKHAIREMPORIUM.COM,a86a78c49ea20e32,2000/05/20,8498084124118244,"Bay Street #179, St. Michael, BB23026, Barbados"
Tia,Brathwaite,Tia.Brathwaite@mail.kkhair.net,3c681d06bd2aa399,1984/04/06,94680443699,"Coconut Walk #284, St. Andrew, 65108, Jamaica"
Khadija,Baptiste,Khadija.Baptiste@loyalty.kkhair.com,2ed6cfc7403d75e1,1965/11/20,872-7743-487347143,"Bamboo Crescent #238, Clarendon, 83259, Jamaica"
Mikaël,Greenidge,Mikal.Greenidge@kkhairemporium.com,7ffe0297c79bfbda,1995/09/16,+ 3749894  ,"Coconut Walk #119, Castries, LC12 301, St. Lucia"
Dwayne ,Clarke,Dwayne.Clarke-715@kandk-hair.co,18f32cf21449273d,1975/04/01,+1 (876) 13341232812,"Harbour View #231, St. James, 87139, Jamaica"
Andre,Campbell,Andre.Campbell_947@loyalty.kkhair.com,99e3e9c8fe21da80,2006/08/09,296-7175-6,"Palm Grove #138, Micoud, LC10 201, St. Lucia"
D’Andre,Morris,DANDRE.MORRIS@KANDK-HAIR.CO,eb9d8e96cf37cb__,1990/07/05,+ 3942104  ,"Coral Ridge #26, Micoud, LC12 301, St. Lucia"
Keisha,Núñez,Keisha.Nez.898@loyalty.kkhair.com,7cb2c083eb8cb3__,1984/06/05,+1 (876) 471138,"Hibiscus Lane #33, Clarendon, 49608, Jamaica"
Kirsten,Ramdeen,Kirsten.Ramdeen-631@mail.kkhair.net,63e2601a7462667a,1955/04/03,053-9502,"Independence Ave #67, St. Paul Charlestown, KN0302, St. Kitts & Nevis"
Zoë,Forde,Zo.Forde.227@kkhairemporium.com,ac9ed336de7daecd,1983/01/15,(615) 280,"Seaview Terrace #131, St. James, 30006, Barbados"
Kareem,O'Connor,Kareem.OConnor-203@kandk-hair.co,2fe981b29ee11b92,1963/02/06,+ 97820715  ,"Market Street #197, Soufrière, 1672, St. Lucia"
Marlon,Grant,MARLON.GRANT@kkhairemporium.com,0cf1cb80b2b73a41,1985/05/16,+ 430305  ,"Independence Ave #238, Dennery, LC10 201, St. Lucia"
Latoya Lewis De la,Cruz,Latoya.Cruz@loyalty.kkhair.com,59a32a99ed5ebe1b,1994/01/08,+1 (869) 297021,"Bamboo Crescent #30, St. George Basseterre, KN0503, St. Kitts & Nevis"
Kofi,Williams,Kofi.Williams@kandk-hair.co,69f6342e5e2ab299,1970/08/14,+1 (246) 89578291,"Market Street #115, St. Michael, BB17001, Barbados"
Kofi,Williams,KOFI.WILLIAMS@mail.kkhair.net,a65fef9f02ce76%^,1997/03/21,060-9835-8,"Palm Grove #56, Soufrière, LC12 301, St. Lucia"
Devon,Morris,Devon.Morris-837@kkhairemporium.com,f19d54dbcecc24b3,2003/03/14,63375243106,"Independence Ave #115, Port of Spain, 12979, Trinidad & Tobago"
Chloë,Morris,Chlo.Morris@kkhairemporium.com,ff00d00890d53347,2002/03/25,341016668700,"Queen's Road #137, St. John Figtree, KN0503, St. Kitts & Nevis"
Devon,Jean-Baptiste,Devon.Jean-Baptiste@mail.kkhair.net,7cac42b13d72aca0,1995/06/03,+1 (758) 943114,"Queen's Road #284, Soufrière, LC10 201, St. Lucia"
Jamal Forde,Brathwaite,JAMAL.BRATHWAITE-460@MAIL.KKHAIR.NET,425d8d9f2b87f6e3,1955/08/10,593-7526-5,"Queen's Road #195, Vieux Fort, LC12 301, St. Lucia"
Sade,Alleyne,Sade.Alleyne@kandk-hair.co,fcd1b237b51cad30,1974/12/01,+ 9825071461125457  ,"Market Street #286, Manchester, 38971, Jamaica"
Jermaine,O'Connor,JERMAINE.OCONNOR@kkhairemporium.com,e7c55dc06edc0668,1960/08/12,+1 (246) 78596969,"Bamboo Crescent #275, Christ Church, BB23026, Barbados"
Anaïs De la,Cruz,ANAS.CRUZ_321@KKHAIREMPORIUM.COM,55f945ae1b0f46cf,1999/02/11,(384) 27978,"Cedar Park #228, St. James, 06, Jamaica"
Latoya,Alleyne,Latoya.Alleyne@kkhairemporium.com,08611c9ddc248292,1973/03/25,+1 (876) 303161799042,"Independence Ave #275, St. Catherine, 13, Jamaica"
Rohan,Núñez,Rohan.Nez.632@kandk-hair.co,bac850a7081fb753,1976/08/20,(559) 05992937,"Cedar Park #29, Gros Islet, LC12 301, St. Lucia"
Jermaine,Clarke,Jermaine.Clarke@KKHAIREMPORIUM.COM,190a832a5c522af0,1969/10/20,+1 (758) 884443106987,"Harbour View #81, Castries, LC12 301, St. Lucia"
Noël,Dottin,NOL.DOTTIN_616@kkhairemporium.com,c30b993f2a8a8896,1976/07/23,466-6099-3,"Bamboo Crescent #207, St. Philip, BB17001, Barbados"
Renée,Joseph,Rene.Joseph@kkhairemporium.com,1f6fa70023f42238,1995/12/23,561-1002-2,"Coconut Walk #136, St. Thomas, BB14000, Barbados"
Zoë,Morris,Zo.Morris@kandk-hair.co,a9e44d9a6669b45a,1986/08/08,+ 620034  ,"Coral Ridge #293, St. John Figtree, KN0503, St. Kitts & Nevis"
