  Name  nsuef,Email Addresshbjjb , Password 12582,Salt %^bh ,Date of Birth   ,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
Shanice O'Connor,Shanice.OConnor@KKHAIREMPORIUM.COM,BD#dz*,e805da846a32c3bb,1958/11/24,Market Street #64,St. Thomas,BB23026,Barbados,Oistins,20267,Non-binary,31034131647,2018/01/17,45
Renée Lewis,RENE.LEWIS@kandk-hair.co,CPhDeOZIiBOB@Y6s,78dcb74f21345d2c,1996/12/28,Market Street #6,Clarendon,99353,Jamaica,Spanish Town,11146,Female,+ 62704828  ,2017-09-03,64
Rohan Williams,Rohan.Williams@kkhairemporium.com,UNEhEk,f244f58d669cbee3,1960/09/29 ,Coral Ridge #284,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Basseterre,23194,Female,1051834,2017/03/14,92
Devon Baptiste,Devon.Baptiste.442@loyalty.kkhair.com,mhZRnF,e4d58e72e310275d,1974/03/06,Bay Street #31,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Sandy Point,8690,Prefer not to say,(687) 23430,2016-05-04,7
Devon Baptiste,Devon.Baptiste@KKHAIREMPORIUM.COM,EZpFfk,a86a78c49ea20e32,2000/5/20,Bay Street #179,St. Michael,BB23026,Barbados,Warrens,5169,Prefer not to say,8498084124118244,2017/12/03,81
Khadija Baptiste,KHADIJA.BAPTISTE@loyalty.kkhair.com,Hu42bojt,b4d419b1b673bd47,1970/11/19,Palm Grove #92,Dennery,6442,St. Lucia,Vieux Fort,24086,Male,216-0733-7,2017/04/11,84
 Tia Brathwaite  ,Tia.Brathwaite@mail.kkhair.net,doHwHen3SO,3c681d06bd2aa399,1984/04/06,Coconut Walk #284,St. Andrew,65108,Jamaica,Spanish Town,24514,Male,94680443699,2018/08/10,86
Khadija Baptiste,Khadija.Baptiste@loyalty.kkhair.com,lENCzsdfF8,2ed6cfc7403d75e1,1965/11/20,Bamboo Crescent #238,Clarendon,83259,Jamaica,Montego Bay,20075,Prefer not to say,872-7743-487347143,2017/10,10
Tyrone Campbell,Tyrone.Campbell@loyalty.kkhair.com,1XcW9aTM,d7f78df0cac5e40c,1957-06-07,Harbour View #70,St. Ann,15,Jamaica,Montego Bay,12422,Non-binary,+ 7556464  ,2018/08/21,69
Kareem Campbell,KAREEM.CAMPBELL@KANDK-HAIR.CO,Eq8oB7GV,359309cc6273931b,1988-03-30,Seaview Terrace #175,St. Michael,65057,Barbados,Bridgetown,14205,Non-binary,726-2849-87769,2017-05-17,11
Mikaël Greenidge,Mikal.Greenidge@kkhairemporium.com,BTHRJJb%ykE0,7ffe0297c79bfbda,1995/9/16,Coconut Walk #119,Castries,LC12 301,St. Lucia,Castries,24342,Male,+ 3749894  ,2017/02/01,46
Dwayne  Clarke,Dwayne.Clarke-715@kandk-hair.co,bK894R,18f32cf21449273d,1975/04/01,Harbour View #231,St. James,87139,Jamaica,Montego Bay,18632,Female,+1 (876) 13341232812,2018/07/11,60
Andre Campbell,Andre.Campbell_947@loyalty.kkhair.com,2o*CtIsj,99e3e9c8fe21da80,2006/08/09,Palm Grove #138,Micoud,LC10 201,St. Lucia,Gros Islet,17005,Prefer not to say,296-7175-6,2016/08,42
José Baptiste,JOS.BAPTISTE@mail.kkhair.net,Z$a*70,bfe16849ef307590,1963/05,Cedar Park #59,Diego Martin,25396,Trinidad & Tobago,Chaguanas,9563,Non-binary,7737826398,2016/10,35
Sade  Núñez,Sade.Nez@mail.kkhair.net,SQ*W6PyEXD0f,fcc4f14a3e3e04d4,1978/10/11 ,Sugar Cane Way #204,Couva-Tabaquite-Talparo,TT6383,Trinidad & Tobago,Chaguanas,12452,Non-binary,780-9134-31611,2017/09,5
D’Andre Morris,DANDRE.MORRIS@KANDK-HAIR.CO,E@sD7G6Gb7K*,eb9d8e96cf37cb__,1990/7/5,Coral Ridge #26,Micoud,LC12 301,St. Lucia,Castries,19892,Non-binary,+ 3942104  ,2016/03/09,93
Keisha Núñez,Keisha.Nez.898@loyalty.kkhair.com,G9LRo7js,7cb2c083eb8cb3__,1984/06/05,Hibiscus Lane #33,Clarendon,49608,Jamaica,Kingston,4580,Female,+1 (876) 471138,2018/07/18,95
Kirsten Ramdeen,Kirsten.Ramdeen-631@mail.kkhair.net,B44EUmV*Th,63e2601a7462667a,1955/4/3,Independence Ave #67,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Basseterre,21661,Female,053-9502,2016-09-16,67
Zoë Forde,Zo.Forde.227@kkhairemporium.com,M6dh9Z2n!4jkPsiq,ac9ed336de7daecd,1983/01/15,Seaview Terrace #131,St. James,30006,Barbados,Bridgetown,2989,Female,(615) 280,2017/11/06,52
Noël De la Cruz,Nol.Cruz-615@loyalty.kkhair.com,t9CnSVoJ,d080589ab054c240,2002/08,Harbour View #233,Vieux Fort,LC12 301,St. Lucia,Gros Islet,23645,Non-binary,991-0229-014767976,2018/11/15,55
Dwayne De la Cruz,DWAYNE.CRUZ-614@kkhairemporium.com,rGLPpa@3,c7b2c1d0e2adcd93,1984/02,Coral Ridge #236,St. Peter,BB14000,Barbados,Warrens,3468,Male,+1 (246) 9681645352,2016/08/21,24
Kareem O'Connor,Kareem.OConnor-203@kandk-hair.co,w@75PO,2fe981b29ee11b92,1963/02/06,Market Street #197,Soufrière,1672,St. Lucia,Vieux Fort,21359,Male,+ 97820715  ,2016/06/21,22
Marlon St. Clair,Marlon.Clair-940@loyalty.kkhair.com,gQiQmXKGtQksSNYq,29ca42db0b956af6,1967/05,Coconut Walk #52,St. George,BB14000,Barbados,Oistins,11035,Male,+ 62229270653  ,2017-08-06,100
Marlon Charles,Marlon.Charles@kandk-hair.co,,,,,,,,,,,,,
Marlon Grant,MARLON.GRANT@kkhairemporium.com,&c$EsL2aTE1xk^Ui,0cf1cb80b2b73a41,1985/05/16,Independence Ave #238,Dennery,LC10 201,St. Lucia,Castries,2067,Prefer not to say,+ 430305  ,2018/11/21,104
Latoya Lewis De la Cruz,Latoya.Cruz@loyalty.kkhair.com,Z4XRx@@V%Ik2,59a32a99ed5ebe1b,1994/1/8,Bamboo Crescent #30,St. George Basseterre,KN0503,St. Kitts & Nevis,Charlestown,24572,Male,+1 (869) 297021,2018/01/20,72
Kofi Williams,Kofi.Williams@kandk-hair.co,Fodx@%XpHH,69f6342e5e2ab299,1970/08/14,Market Street #115,St. Michael,BB17001,Barbados,Bridgetown,16188,Female,+1 (246) 89578291,2018/03,92
Khadija Best,Khadija.Bestkkhairemporium.com,qxq3#hp%tM,a7b92868492545a1,1957-07-18,Seaview Terrace #296,Chaguanas,TT4453,Trinidad & Tobago,San Fernando,20254,Female,+1 (868) 8447364710,2018/05/01,26
Kofi Williams,KOFI.WILLIAMS@mail.kkhair.net,nOE7pI5FsmgLX1Fu,a65fef9f02ce76%^,1997/3/21,Palm Grove #56,Soufrière,LC12 301,St. Lucia,Vieux Fort,11985,Prefer not to say,060-9835-8,2018/03/02,97
