original_index, Password 12582,Street Name  9x9x ,Parish   hbjjb, Zip   12582,Country  %^bh,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Contact Number  (raw) ,Signup Date 2018 ,Total Purchases  
0,BD#dz*,Market Street #64,St. Thomas,BB23026,Barbados,Oistins,20267.0,Non-binary,31034131647,2018/01/17,45.0
1,CPhDeOZIiBOB@Y6s,Market Street #6,Clarendon,99353,Jamaica,Spanish Town,11146.0,Female,+ 62704828  ,2017-09-03,64.0
2,UNEhEk,Coral Ridge #284,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Basseterre,23194.0,Female,1051834,2017/03/14,92.0
3,mhZRnF,Bay Street #31,St. Peter Basseterre,KN0101,St. Kitts & Nevis,Sandy Point,8690.0,Prefer not to say,(687) 23430,2016-05-04,7.0
4,EZpFfk,Bay Street #179,St. Michael,BB23026,Barbados,Warrens,5169.0,Prefer not to say,8498084124118244,2017/12/03,81.0
5,Hu42bojt,Palm Grove #92,Dennery,6442,St. Lucia,Vieux Fort,24086.0,Male,216-0733-7,2017/04/11,84.0
6,doHwHen3SO,Coconut Walk #284,St. Andrew,65108,Jamaica,Spanish Town,24514.0,Male,94680443699,2018/08/10,86.0
7,lENCzsdfF8,Bamboo Crescent #238,Clarendon,83259,Jamaica,Montego Bay,20075.0,Prefer not to say,872-7743-487347143,2017/10,10.0
8,1XcW9aTM,Harbour View #70,St. Ann,15,Jamaica,Montego Bay,12422.0,Non-binary,+ 7556464  ,2018/08/21,69.0
9,Eq8oB7GV,Seaview Terrace #175,St. Michael,65057,Barbados,Bridgetown,14205.0,Non-binary,726-2849-87769,2017-05-17,11.0
10,BTHRJJb%ykE0,Coconut Walk #119,Castries,LC12 301,St. Lucia,Castries,24342.0,Male,+ 3749894  ,2017/02/01,46.0
11,bK894R,Harbour View #231,St. James,87139,Jamaica,Montego Bay,18632.0,Female,+1 (876) 13341232812,2018/07/11,60.0
12,2o*CtIsj,Palm Grove #138,Micoud,LC10 201,St. Lucia,Gros Islet,17005.0,Prefer not to say,296-7175-6,2016/08,42.0
13,Z$a*70,Cedar Park #59,Diego Martin,25396,Trinidad & Tobago,Chaguanas,9563.0,Non-binary,7737826398,2016/10,35.0
14,SQ*W6PyEXD0f,Sugar Cane Way #204,Couva-Tabaquite-Talparo,TT6383,Trinidad & Tobago,Chaguanas,12452.0,Non-binary,780-9134-31611,2017/09,5.0
15,E@sD7G6Gb7K*,Coral Ridge #26,Micoud,LC12 301,St. Lucia,Castries,19892.0,Non-binary,+ 3942104  ,2016/03/09,93.0
16,G9LRo7js,Hibiscus Lane #33,Clarendon,49608,Jamaica,Kingston,4580.0,Female,+1 (876) 471138,2018/07/18,95.0
17,B44EUmV*Th,Independence Ave #67,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Basseterre,21661.0,Female,053-9502,2016-09-16,67.0
18,M6dh9Z2n!4jkPsiq,Seaview Terrace #131,St. James,30006,Barbados,Bridgetown,2989.0,Female,(615) 280,2017/11/06,52.0
19,t9CnSVoJ,Harbour View #233,Vieux Fort,LC12 301,St. Lucia,Gros Islet,23645.0,Non-binary,991-0229-014767976,2018/11/15,55.0
20,rGLPpa@3,Coral Ridge #236,St. Peter,BB14000,Barbados,Warrens,3468.0,Male,+1 (246) 9681645352,2016/08/21,24.0
21,w@75PO,Market Street #197,Soufrière,1672,St. Lucia,Vieux Fort,21359.0,Male,+ 97820715  ,2016/06/21,22.0
22,gQiQmXKGtQksSNYq,Coconut Walk #52,St. George,BB14000,Barbados,Oistins,11035.0,Male,+ 62229270653  ,2017-08-06,100.0
23,,,,,,,,,,,
24,&c$EsL2aTE1xk^Ui,Independence Ave #238,Dennery,LC10 201,St. Lucia,Castries,2067.0,Prefer not to say,+ 430305  ,2018/11/21,104.0
25,Z4XRx@@V%Ik2,Bamboo Crescent #30,St. George Basseterre,KN0503,St. Kitts & Nevis,Charlestown,24572.0,Male,+1 (869) 297021,2018/01/20,72.0
26,Fodx@%XpHH,Market Street #115,St. Michael,BB17001,Barbados,Bridgetown,16188.0,Female,+1 (246) 89578291,2018/03,92.0
27,qxq3#hp%tM,Seaview Terrace #296,Chaguanas,TT4453,Trinidad & Tobago,San Fernando,20254.0,Female,+1 (868) 8447364710,2018/05/01,26.0
28,nOE7pI5FsmgLX1Fu,Palm Grove #56,Soufrière,LC12 301,St. Lucia,Vieux Fort,11985.0,Prefer not to say,060-9835-8,2018/03/02,97.0
29,Usz$Z#fferQ8%6t$,Sugar Cane Way #27,St. Paul Charlestown,KN0302,St. Kitts & Nevis,Charlestown,20611.0,Prefer not to say,309-1307,2016/11/06,26.0
30,,,,,,,,,,,
31,PKhlD&ew1w,Sugar Cane Way #235,Clarendon,09,Jamaica,Spanish Town,11046.0,Non-binary,+ 32966851612  ,2018/09/04,31.0
32,hp7NuZ#N,Cedar Park #281,St. George,BB17001,Barbados,Bridgetown,10751.0,Prefer not to say,+ 397187  ,2018/07/17,53.0
33,2Si*hi,Independence Ave #115,Port of Spain,12979,Trinidad & Tobago,Chaguanas,23563.0,Prefer not to say,63375243106,2016/02/02,8.0
34,hr#LDOPE,Mango Tree Drive #124,St. Peter,BB23026,Barbados,Oistins,4730.0,Prefer not to say,866-882,2017/06/06,82.0
35,B9AQMbByp9FAYEPK,Coconut Walk #79,Christ Church,BB17001,Barbados,Warrens,18670.0,Male,8547772522,2018/09/27,113.0
36,itbB#6Vh,Queen's Road #137,St. John Figtree,KN0503,St. Kitts & Nevis,Sandy Point,15040.0,Male,341016668700,2016/06/18,55.0
37,*ewOcAsYjM,Queen's Road #284,Soufrière,LC10 201,St. Lucia,Vieux Fort,19197.0,Prefer not to say,+1 (758) 943114,2016-11-11,40.0
38,lPXbL0XkF%vWvrIM,Queen's Road #195,Vieux Fort,LC12 301,St. Lucia,Gros Islet,21333.0,Male,593-7526-5,2018/10,100.0
39,d7A4Li0@rMEGt2Wj,Market Street #286,Manchester,38971,Jamaica,Montego Bay,12816.0,Prefer not to say,+ 9825071461125457  ,2018/12/03,60.0
40,vF%wuQ,Bamboo Crescent #275,Christ Church,BB23026,Barbados,Bridgetown,14993.0,Female,+1 (246) 78596969,2017-12-21,79.0
41,s$X1rX2x!&,Cedar Park #228,St. James,06,Jamaica,Kingston,9571.0,Female,(384) 27978,2016/08/21,69.0
42,Me5HSl4p,Seaview Terrace #49,Gros Islet,LC04 101,St. Lucia,Gros Islet,21492.0,Male,(232) 536729466,2016/07/09,95.0
43,i&YB2B@IPK,Bay Street #141,Castries,LC12 301,St. Lucia,Castries,12184.0,Male,+1 (758) 643611,2018/09/03,75.0
44,nnOVMr,Harbour View #162,St. Ann,42477,Jamaica,Spanish Town,2760.0,Male,99940438983,2017/08/28,100.0
45,X1U*w8jc,Independence Ave #275,St. Catherine,13,Jamaica,Montego Bay,22894.0,Prefer not to say,+1 (876) 303161799042,2016-10-08,20.0
46,Q2I^iH,Bay Street #77,San Fernando,00000,Trinidad & Tobago,San Fernando,8135.0,Prefer not to say,+ 541951802380  ,2016/05,110.0
47,F7V @z*Fta0dD*SbQ,Market Street #69,Dennery,LC04 101,St. Lucia,Vieux Fort,18606.0,Female,+1 (758) 2344565574,2017/02/19,98.0
48,luMfBP,Harbour View #191,St. George Basseterre,KN0101,St. Kitts & Nevis,Basseterre,2112.0,Male,(721) 510702966,2018/02/22,22.0
49,9hlJXr1z^F*cWT9*,Cedar Park #29,Gros Islet,LC12 301,St. Lucia,Castries,5770.0,Male,(559) 05992937,2016/12/25,11.0
50,Phcsso^U,Sugar Cane Way #1,St. Philip,85082,Barbados,Oistins,1061.0,Male,+ 59391725135  ,2016/12/09,11.0
51,1v0@WS*Wm9Cu,Harbour View #81,Castries,LC12 301,St. Lucia,Castries,6225.0,Prefer not to say,+1 (758) 884443106987,2018/01/08,11.0
52,NY8!Hl,Queen's Road #278,Soufrière,LC04 101,St. Lucia,Gros Islet,17123.0,Prefer not to say,+ 79374160898  ,2016/10/28,96.0
53,HOilXYPJ,Coral Ridge #206,Port of Spain,TT6431,Trinidad & Tobago,Port of Spain,1615.0,Prefer not to say,+ 50544471  ,2017/04/11,95.0
54,h$uiN#Zr^d,Cedar Park #243,Arima,82264,Trinidad & Tobago,Port of Spain,8475.0,Female,06029333,2017/07/05,65.0
55,J2WS6GB7M%,Bamboo Crescent #207,St. Philip,BB17001,Barbados,Oistins,834.0,Prefer not to say,466-6099-3,2017/03/31,81.0
56,xQlCTCN1QV,Mango Tree Drive #74,Chaguanas,33639,Trinidad & Tobago,San Fernando,20677.0,Male,(007) 43292,2016/06/29,55.0
57,ycaFCSNqnX#NvifM,Sugar Cane Way #20,Diego Martin,TT5190,Trinidad & Tobago,Chaguanas,1592.0,Female,+1 (868) 100167618472,2016/01/20,84.0
58,on@zzH%zT0,Coconut Walk #136,St. Thomas,BB14000,Barbados,Bridgetown,1292.0,Non-binary,561-1002-2,2018/06,34.0
59,voqhun194xWT,Cedar Park #286,St. George,BB14000,Barbados,Oistins,5142.0,Prefer not to say,(721) 7535408386631,2018/07/06,63.0
60,M$A6RU,Sugar Cane Way #210,Port of Spain,00000,Trinidad & Tobago,Port of Spain,12874.0,Male,+ 3516091779  ,2016/10,0.0
61,nXP#X1FJ,Coral Ridge #293,St. John Figtree,KN0503,St. Kitts & Nevis,Sandy Point,418.0,Female,+ 620034  ,2016/11,87.0
62,CXE$KgWX1OgbGz4C,Mango Tree Drive #80,Castries,LC12 301,St. Lucia,Vieux Fort,1666.0,Non-binary,+ 9851583281  ,2016/11/22,68.0
63,boS5EFfPWoXG,Hibiscus Lane #276,Couva-Tabaquite-Talparo,TT2181,Trinidad & Tobago,Chaguanas,5038.0,Female,+ 5011024819  ,2017/06/13,57.0
64,nLMlK4WYd8u&CrY*,Coconut Walk #100,Port of Spain,TT1891,Trinidad & Tobago,San Fernando,21124.0,Female,+1 (868) 14139755,2017/04/25,79.0
65,2vaOFC3JUr,Cedar Park #298,St. George,BB17001,Barbados,Bridgetown,18074.0,Non-binary,(872) 56394278,2018/03/23,1.0
66,fC!DiHVDfA,Queen's Road #177,St. James,16,Jamaica,Spanish Town,4553.0,Prefer not to say,+1 (876) 3184322,2016/08/30,53.0
67,,,,,,,,,,,
68,m2rG9DkK*0Gyaa%p,Queen's Road #287,St. George,BB23026,Barbados,Warrens,18928.0,Non-binary,+ 6213721386589026  ,2016-01-11,105.0
69,%Khw@4bz%Kye,Cedar Park #287,Manchester,55544,Jamaica,Kingston,19869.0,Male,(690) 4268181,2017/11,102.0
70,,,,,,,,,,,
71,Yw6p%6ObbA,Harbour View #144,St. John Figtree,KN0302,St. Kitts & Nevis,Charlestown,22479.0,Male,(143) 8663227026728,2017-10-08,38.0
72,UGSc0pSz&w,Seaview Terrace #150,Dennery,5382,St. Lucia,Gros Islet,14578.0,Non-binary,+1 (758) 987622023413,2016/07/29,119.0
73,DFK4qq^vde,Palm Grove #1,Arima,27865,Trinidad & Tobago,San Fernando,17534.0,Female,774-0649-30853,2018/06/14,20.0
74,0yixrLo65I,Harbour View #160,Diego Martin,TT8597,Trinidad & Tobago,Port of Spain,10821.0,Female,+1 (868) 2046187234601367,2016/03/09,94.0
75,%pG9MzUgBoE3PbvJ,Independence Ave #250,Christ Church,BB23026,Barbados,Warrens,24025.0,Male,652407,2017/08/26,62.0
76,,,,,,,,,,,
77,jMjB%m,Mango Tree Drive #181,St. James,BB23026,Barbados,Warrens,13511.0,Prefer not to say,(593) 9836845776004,2018/11/26,113.0
78,tme6TtrHUFDGMlZB,Seaview Terrace #196,Castries,LC04 101,St. Lucia,Gros Islet,17692.0,Male,(832) 06799,2017/03/30,100.0
79,r9z!Yz^F,Mango Tree Drive #23,San Fernando,00000,Trinidad & Tobago,Chaguanas,2811.0,Female,039-2405-14770,2017/03/09,66.0
80,GvhKzI,Sugar Cane Way #12,Castries,LC12 301,St. Lucia,Gros Islet,16054.0,Prefer not to say,+ 205554384046  ,2016/03,35.0
81,NQ5*qAr*zrN^,Independence Ave #14,St. Ann,90864,Jamaica,Spanish Town,18580.0,Male,+1 (876) 33051728975,2018/03/04,17.0
82,!P6F2ZfWOY&^,Bay Street #28,Clarendon,28643,Jamaica,Spanish Town,14801.0,Female,(812) 982665702,2017/02,11.0
83,k^X$uWWfvQ,Palm Grove #253,Gros Islet,4553,St. Lucia,Gros Islet,13439.0,Prefer not to say,990384,2017/03/01,18.0
84,uKw6UelM,Cedar Park #163,St. James,BB23026,Barbados,Bridgetown,20129.0,Prefer not to say,77293430107,2016-08-29,26.0
85,#PaoQRYdwy,Bay Street #182,St. George Basseterre,KN0503,St. Kitts & Nevis,Basseterre,11113.0,Prefer not to say,829-9629-14504,2018/10,47.0
86,9#tyR9,Seaview Terrace #160,Port of Spain,TT6114,Trinidad & Tobago,Port of Spain,10514.0,Male,+1 (868) 4485714,2017/07/14,79.0
87,R*4gqd8gnX,Hibiscus Lane #74,St. Paul Charlestown,KN0503,St. Kitts & Nevis,Sandy Point,6008.0,Non-binary,(577) 0171577245992,2018-04-10,101.0
88,,,,,,,,,,,
89,VgaToK,Sunset Blvd #9,San Fernando,00000,Trinidad & Tobago,Port of Spain,4496.0,Prefer not to say,+1 (868) 7969278687653269,2018-10-17,30.0
90,s^J7%k,Coral Ridge #134,St. George Basseterre,KN0302,St. Kitts & Nevis,Charlestown,1691.0,Non-binary,9047128144294440,2016/12,94.0
91,kst@0XE4vA,Bay Street #230,St. James,11,Jamaica,Kingston,17409.0,Non-binary,6945441496739385,2017/01/03,1.0
92,hBpplq,Coconut Walk #136,Christ Church,BB14000,Barbados,Warrens,6575.0,Prefer not to say,7128639,2018-06-23,13.0
