Name,Email Address,Salt,Date of Birth
Rohan Williams,Rohan.Williams@kkhairemporium.com,f244f58d669cbee3,
Tyrone Campbell,Tyrone.Campbell@loyalty.kkhair.com,d7f78df0cac5e40c,
Kareem Campbell,KAREEM.CAMPBELL@KANDK-HAIR.CO,359309cc6273931b,
José Baptiste,JOS.BAPTISTE@mail.kkhair.net,bfe16849ef307590,
Sade  Núñez,Sade.Nez@mail.kkhair.net,fcc4f14a3e3e04d4,
Noël De la Cruz,Nol.Cruz-615@loyalty.kkhair.com,d080589ab054c240,
Dwayne De la Cruz,DWAYNE.CRUZ-614@kkhairemporium.com,c7b2c1d0e2adcd93,
Marlon St. Clair,Marlon.Clair-940@loyalty.kkhair.com,29ca42db0b956af6,
Marlon Charles,Marlon.Charles@kandk-hair.co,,
Khadija Best,Khadija.Bestkkhairemporium.com,a7b92868492545a1,
Khadija Dottin,Khadija.Dottin@kandk-hair.co,,
Shanice Charles,Shanice.Charles@mail.kkhair.net,1cf591093a9ef4e8,
Tanesha Alleyne,Tanesha.Alleyne@kkhairemporium.com,9b774f4ebdf672eb,
José Núñez,Jos.Nez@kkhairemporium.com,4fa113e035ee0d64,
 Khadija De la Cruz  ,Khadija.Cruz-711@kandk-hair.co,44205eb64de62343,
Kareem Joseph,Kareem.Joseph@LOYALTY.KKHAIR.COM,2feb1f5b58337010,
Jamal Williams,Jamal.Williams-988@kandk-hair.co,7bc19850ce73e3ZZ,
Marlon  Singh,Marlon.Singh@kandk-hair.co,bc3a9a45dfa5b75c,
Anaïs De la Cruz,Anas.Cruz@loyalty.kkhair.com,c5bcb5e18ee87814,
Aaliyah Browne,AALIYAH.BROWNE@mail.kkhair.net,0d3d443339bd8c%^,
Jéssica García,Jssica.Garca-217@mail.kkhair.net,6171e1b68bec307b,
Tia  Best,Tia.Best-973@kkhairemporium.com,ead4afb65c077460,
Kareem García,Kareem.Garca@mail.kkhair.net,4ff3de128a07a3d7,
Sade  Johnson,Sade.Johnson@KKHAIREMPORIUM.COM,7eafbe3370ab9b31,
Tyrone  García  Pérez,Tyrone.Prez@kkhairemporium.com,b669e52553c1d884,
Zoë Johnson,ZO.JOHNSON-23@kandk-hair.co,,
Tanesha Hernández,Tanesha.Hernndez@domain_with_space.mail.kkhair.net,,
Tanesha Alleyne,Tanesha.Alleyne@MAIL.KKHAIR.NET,3ab85878fab5fd6d,
Rashida Morris-Best,Rashida.Morris-Best@kkhairemporium.com,afe8e45ed9bf72e9,
 Anaïs Alleyne  ,Anas.Alleyne@loyalty.kkhair.com,f6a041053984e072,
Devon Browne,DEVON.BROWNE@kandk-hair.co,,
Tyrone Brathwaite,Tyrone.Brathwaite@kandk-hair.co,d45a235a40add9e8,
Sade Charles,SADE.CHARLES@mail.kkhair.net,,
  José  Núñez    ,Jos.Nez@mail.kkhair.net,7dcacccd65f46cbd,
Renée Greenidge,Rene.Greenidge@kandk-hair.co,b18315ecf9f7ccf8,
Keisha Forde,Keisha.Forde@@KANDK-HAIR.CO,ffdc270cf3ba9c12,
Sofía Charles,Sofa.Charles_739@mail.kkhair.net,c72ff1d46e5cb4e6,
 Latoya García  ,Latoya.Garca@kandk-hair.co,0d64b9720f95e0ee,
Mikaël Morris,Mikal.Morris@kandk-hair.co,bef3f9eb26e22c59,
Latoya Hernández,Latoya.Hernndez@kandk-hair.co,1678602e2c6fa1bc,
 Noël Joseph  ,NOL.JOSEPH@kkhairemporium.com,99fe700489f39d5f,
Andre Grant,Andre.Grant.188@kkhairemporium.com,bfda5364763de234,
