Name,Email Address,Salt,Date of Birth
Tanesha García,Tanesha.Garca@@mail.kkhair.net,a5c9af9f0ba3d90f,2006/11/24
Kofi Morris,Kofi.Morris@ kkhairemporium.com,47d9815df1bcadd4,1971/07/01
 Sofía Greenidge  ,Sofa.Greenidge-387@@kkhairemporium.com,b98bfe3fa6bad1__,2006/12/16
 Jéssica Jean-Baptiste  ,Jssica.Jean-Baptiste@@loyalty.kkhair.com,c9367df148217dbe,1962/08/14
Sofía De la Cruz,Sofa.Cruz@,9e3f12f63c9d1446,2006/01/31
Mikaël Thompson,Mikal.Thompson@,afeeb9f352846822,2000/07/02
Noël Pérez,Nol.Prez_184@,bcfe11a3885ccb28,1974/12/30
Rohan Campbell-Pérez,Rohan.Campbell-Prez@,13ee17c1c169ec99,1992/11/25
Tanesha  Best,TANESHA.BEST-722loyalty.kkhair.com,27f291a0fefadb99,1982/04/12
Anaïs Joseph,Anas.Josephloyalty.kkhair.com,595545731a4e8b56,1958/02/10
José Best,Jos.Best-954@,42ad483a14f8bd98,1978/08/30
Zoë Campbell,ZO.CAMPBELL@@KANDK-HAIR.CO,aebfbf9fa6751bde,1984/02/06
Jamal Forde,Jamal.Forde_717@,ce234173fc415747,2000/08/11
Rohan Jean-Baptiste,Rohan.Jean-Baptiste@,1bb07210c9690630,1966/04/23
Chloë Browne,Chlo.Browne@,6e03811b4e20baZZ,1998/05/29
Jéssica O'Connor,JSSICA.OCONNORKANDK-HAIR.CO,39f32fe4d8356301,1993/10/03
Chloë Browne,CHLO.BROWNE.888MAIL.KKHAIR.NET,202564d2b2408b0f,1994/01/17
Zoë Baptiste,Zo.Baptiste_559@,6765057b214bab13,1975/04/19
Shanice Ramdeen,Shanice.Ramdeen@@loyalty.kkhair.com,86433971efe48e4b,1977/07/19
  Devon  Ramdeen    ,Devon.Ramdeen@@mail.kkhair.net,910721277b65459e,1974/12/07
Kofi Ramdeen,Kofi.Ramdeenloyalty.kkhair.com,c8e05b9b7c4d18e5,1993/12/04
Rashida Forde,Rashida.Forde@ mail.kkhair.net,bd8de4c7c2b92b11,1997/08/25
Aaliyah García Forde,Aaliyah.Forde@,985c9506727a9039,2005/09/27
Latoya Brathwaite,Latoya.Brathwaite.628@@mail.kkhair.net,0fdd38c41bc402fb,1955/04/02
Kirsten Charles,Kirsten.Charles@,0567b2e9cbd94c13,1977/02/05
Aaliyah Joseph,Aaliyah.Joseph.613@@loyalty.kkhair.com,058dd6851b7def78,2004/05/10
 José Ramdeen  ,Jos.Ramdeen-829@ kkhairemporium.com,8cdac45b55503647,1958/09/29
Kofi Dottin,KOFI.DOTTIN@@mail.kkhair.net,c387ec7100f7f998,1977/08/31
 Andre Brathwaite  ,ANDRE.BRATHWAITE@,fcb1feb4be472c63,1972/07/27
Sofía Morris,Sofa.Morris@@mail.kkhair.net,477615abf41d4739,1985/07/30
Tyrone Morris,Tyrone.Morris@,343ff8e9fe7ba967,2006/12/01
 Sofía De la Cruz  ,Sofa.Cruz@ mail.kkhair.net,5c7230b04451f9ab,2002/03/07
 Rashida Pérez  ,Rashida.Prez@,ad8ee0f1d10f8c38,1977/03/16
Anaïs Clarke,ANAS.CLARKE@ MAIL.KKHAIR.NET,852546753a00e364,1955/08/09
Sade Jean-Baptiste,Sade.Jean-Baptiste@@kandk-hair.co,c5ce8fd56f06b8fe,1971/08/20
Devon O'Connor,Devon.OConnor-710mail.kkhair.net,5bc119363dcfeb4f,1955/01/20
Dwayne Best,Dwayne.Best@@mail.kkhair.net,5a7414a9d2df9dee,1961/02/14
Tia  Jean-Baptiste,Tia.Jean-Baptiste@ loyalty.kkhair.com,c9f459ba3f177b29,1971/07/04
Kofi Williams,Kofi.Williams@@kkhairemporium.com,9336f379d730f1fd,1983/10/27
Keisha Williams,KEISHA.WILLIAMSmail.kkhair.net,2203a9bce727f112,1996/05/16
Rashida Clarke,RASHIDA.CLARKE@@loyalty.kkhair.com,8c3f71b2a36740ce,1968/06/10
Dwayne Holder,Dwayne.Holderkandk-hair.co,1463e81421c0fc79,1973/08/17
Zoë Jean-Baptiste,Zo.Jean-Baptiste.817@,38049a9448459704,1966/10/19
José Hernández,Jos.Hernndez-135kkhairemporium.com,5b7a0675f309a6a2,1983/07/07
José Baptiste Greenidge,Jos.Greenidge@,cef910e1264bcc20,1955/04/16
Rashida Holder,RASHIDA.HOLDERloyalty.kkhair.com,09e7bfb879a7c9c3,1998/09/20
Marlon St. Clair,Marlon.Clair-228@,45db861b6e69b36b,1993/12/19
Jermaine Forde,Jermaine.Fordeloyalty.kkhair.com,d2b0fdfc6339e8c3,1962/06/28
Latoya Singh,Latoya.Singh@@kandk-hair.co,9dbaebc9b2584e78,1966/06/07
Kofi Forde,Kofi.Forde-766@ LOYALTY.KKHAIR.COM,22f9c6d71b8c1f08,1964/05/30
Latoya O'Connor Pérez,Latoya.Prez@@kandk-hair.co,9af80a1f9227446d,1983/01/02
Sade  Charles,Sade.Charles@@kandk-hair.co,7e57920494b1ac%^,1969/02/22
Rashida Grant,RASHIDA.GRANT-904loyalty.kkhair.com,d260475fc62c9f6e,1996/08/11
