  Name  nsuef,Email Addresshbjjb ,Salt %^bh ,Date of Birth   
Shanice O'Connor,Shanice.OConnor@KKHAIREMPORIUM.COM,e805da846a32c3bb,1958/11/24
Renée Lewis,RENE.LEWIS@kandk-hair.co,78dcb74f21345d2c,1996/12/28
Rohan Williams,Rohan.Williams@kkhairemporium.com,f244f58d669cbee3,1960/09/29 
Devon Baptiste,Devon.Baptiste.442@loyalty.kkhair.com,e4d58e72e310275d,1974/03/06
Devon Baptiste,Devon.Baptiste@KKHAIREMPORIUM.COM,a86a78c49ea20e32,2000/5/20
Khadija Baptiste,KHADIJA.BAPTISTE@loyalty.kkhair.com,b4d419b1b673bd47,1970/11/19
 Tia Brathwaite  ,Tia.Brathwaite@mail.kkhair.net,3c681d06bd2aa399,1984/04/06
Khadija Baptiste,Khadija.Baptiste@loyalty.kkhair.com,2ed6cfc7403d75e1,1965/11/20
Tyrone Campbell,Tyrone.Campbell@loyalty.kkhair.com,d7f78df0cac5e40c,1957-06-07
Kareem Campbell,KAREEM.CAMPBELL@KANDK-HAIR.CO,359309cc6273931b,1988-03-30
Mikaël Greenidge,Mikal.Greenidge@kkhairemporium.com,7ffe0297c79bfbda,1995/9/16
Dwayne  Clarke,Dwayne.Clarke-715@kandk-hair.co,18f32cf21449273d,1975/04/01
Andre Campbell,Andre.Campbell_947@loyalty.kkhair.com,99e3e9c8fe21da80,2006/08/09
José Baptiste,JOS.BAPTISTE@mail.kkhair.net,bfe16849ef307590,1963/05
Sade  Núñez,Sade.Nez@mail.kkhair.net,fcc4f14a3e3e04d4,1978/10/11 
D’Andre Morris,DANDRE.MORRIS@KANDK-HAIR.CO,eb9d8e96cf37cb__,1990/7/5
Keisha Núñez,Keisha.Nez.898@loyalty.kkhair.com,7cb2c083eb8cb3__,1984/06/05
Kirsten Ramdeen,Kirsten.Ramdeen-631@mail.kkhair.net,63e2601a7462667a,1955/4/3
Zoë Forde,Zo.Forde.227@kkhairemporium.com,ac9ed336de7daecd,1983/01/15
Noël De la Cruz,Nol.Cruz-615@loyalty.kkhair.com,d080589ab054c240,2002/08
Dwayne De la Cruz,DWAYNE.CRUZ-614@kkhairemporium.com,c7b2c1d0e2adcd93,1984/02
Kareem O'Connor,Kareem.OConnor-203@kandk-hair.co,2fe981b29ee11b92,1963/02/06
Marlon St. Clair,Marlon.Clair-940@loyalty.kkhair.com,29ca42db0b956af6,1967/05
Marlon Charles,Marlon.Charles@kandk-hair.co,,
Marlon Grant,MARLON.GRANT@kkhairemporium.com,0cf1cb80b2b73a41,1985/05/16
Latoya Lewis De la Cruz,Latoya.Cruz@loyalty.kkhair.com,59a32a99ed5ebe1b,1994/1/8
Kofi Williams,Kofi.Williams@kandk-hair.co,69f6342e5e2ab299,1970/08/14
Khadija Best,Khadija.Bestkkhairemporium.com,a7b92868492545a1,1957-07-18
Kofi Williams,KOFI.WILLIAMS@mail.kkhair.net,a65fef9f02ce76%^,1997/3/21
Tanesha García,Tanesha.Garca@@mail.kkhair.net,a5c9af9f0ba3d90f,2006/11/24
Khadija Dottin,Khadija.Dottin@kandk-hair.co,,
Shanice Charles,Shanice.Charles@mail.kkhair.net,1cf591093a9ef4e8,1965/02/08 
Tanesha Alleyne,Tanesha.Alleyne@kkhairemporium.com,9b774f4ebdf672eb,2005-08-12
Devon Morris,Devon.Morris-837@kkhairemporium.com,f19d54dbcecc24b3,2003/03/14
Kofi Morris,Kofi.Morris@ kkhairemporium.com,47d9815df1bcadd4,1971/07/01
 Sofía Greenidge  ,Sofa.Greenidge-387@@kkhairemporium.com,b98bfe3fa6bad1__,2006/12/16
Chloë Morris,Chlo.Morris@kkhairemporium.com,ff00d00890d53347,2002/3/25
Devon Jean-Baptiste,Devon.Jean-Baptiste@mail.kkhair.net,7cac42b13d72aca0,1995/06/03
Jamal Forde Brathwaite,JAMAL.BRATHWAITE-460@MAIL.KKHAIR.NET,425d8d9f2b87f6e3,1955/08/10
Sade Alleyne,Sade.Alleyne@kandk-hair.co,fcd1b237b51cad30,1974/12/01
Jermaine O'Connor,JERMAINE.OCONNOR@kkhairemporium.com,e7c55dc06edc0668,1960/08/12
Anaïs De la Cruz,ANAS.CRUZ_321@KKHAIREMPORIUM.COM,55f945ae1b0f46cf,1999/02/11
Rashida García,RASHIDA.GARCA@domain_with_space.mail.kkhair.net,76bd54661b85a998,2001/02/24
José Núñez,Jos.Nez@kkhairemporium.com,4fa113e035ee0d64,1982/01
 Khadija De la Cruz  ,Khadija.Cruz-711@kandk-hair.co,44205eb64de62343,1989/06/14 
Latoya Alleyne,Latoya.Alleyne@kkhairemporium.com,08611c9ddc248292,1973/03/25
Kareem Joseph,Kareem.Joseph@LOYALTY.KKHAIR.COM,2feb1f5b58337010,1997/04/28 
 Jéssica Jean-Baptiste  ,Jssica.Jean-Baptiste@@loyalty.kkhair.com,c9367df148217dbe,1962/08/14
Jamal Williams,Jamal.Williams-988@kandk-hair.co,7bc19850ce73e3ZZ,1966/09
Rohan Núñez,Rohan.Nez.632@kandk-hair.co,bac850a7081fb753,1976/8/20
Marlon  Singh,Marlon.Singh@kandk-hair.co,bc3a9a45dfa5b75c,1981-06-03
Jermaine Clarke,Jermaine.Clarke@KKHAIREMPORIUM.COM,190a832a5c522af0,1969/10/20
Anaïs De la Cruz,Anas.Cruz@loyalty.kkhair.com,c5bcb5e18ee87814,1963-09-04
Aaliyah Browne,AALIYAH.BROWNE@mail.kkhair.net,0d3d443339bd8c%^,1991-02-25
Jéssica García,Jssica.Garca-217@mail.kkhair.net,6171e1b68bec307b,1995/01
Noël Dottin,NOL.DOTTIN_616@kkhairemporium.com,c30b993f2a8a8896,1976/07/23
Sofía De la Cruz,Sofa.Cruz@,9e3f12f63c9d1446,2006/01/31
Tia  Best,Tia.Best-973@kkhairemporium.com,ead4afb65c077460,1970-02-28
Renée Joseph,Rene.Joseph@kkhairemporium.com,1f6fa70023f42238,1995/12/23
Kareem García,Kareem.Garca@mail.kkhair.net,4ff3de128a07a3d7,1989-07-12
Sade  Johnson,Sade.Johnson@KKHAIREMPORIUM.COM,7eafbe3370ab9b31,1999-03-06
Zoë Morris,Zo.Morris@kandk-hair.co,a9e44d9a6669b45a,1986/08/08
Tyrone  García  Pérez,Tyrone.Prez@kkhairemporium.com,b669e52553c1d884,1977-11-17
Keisha Holder,Keisha.Holder@kandk-hair.co,90bef196a2350266,1993/01/21
 Kirsten Brathwaite St. Clair  ,Kirsten.Clair.600@KKHAIREMPORIUM.COM,49b04310c296b6d4,1974/10/22
Mikaël Thompson,Mikal.Thompson@,afeeb9f352846822,2000/07/02
Noël Pérez,Nol.Prez_184@,bcfe11a3885ccb28,1974/12/30
Zoë Johnson,ZO.JOHNSON-23@kandk-hair.co,,
José Joseph,Jos.Joseph@loyalty.kkhair.com,c6adb34d88db8c6d,2005/01/08
 Latoya Núñez  ,Latoya.Nez@#.kkhairemporium.com,751b70528cbcc602,2004/4/22
Tanesha Hernández,Tanesha.Hernndez@domain_with_space.mail.kkhair.net,,
Tanesha Alleyne,Tanesha.Alleyne@MAIL.KKHAIR.NET,3ab85878fab5fd6d,1988/05/26 
Rashida Jean-Baptiste,Rashida.Jean-Baptiste-488@kkhairemporium.com,9bafe2c9e45adc22,1975/6/23
Rashida Morris-Best,Rashida.Morris-Best@kkhairemporium.com,afe8e45ed9bf72e9,1978/04
 Anaïs Alleyne  ,Anas.Alleyne@loyalty.kkhair.com,f6a041053984e072,1999/04
Khadija De la Cruz,KHADIJA.CRUZ@loyalty.kkhair.com,c701f4b275f2a11b,2003/02/13
Devon Browne,DEVON.BROWNE@kandk-hair.co,,
Kareem Charles,Kareem.Charles@kkhairemporium.com,7c6675d3bed355ca,2002/11/24
Shanice Grant,Shanice.Grant@loyalty.kkhair.com,af5f391c21abdd37,1956/01/10
Tyrone Williams,TYRONE.WILLIAMS@loyalty.kkhair.com,8da23ddbb6ab095b,1994/09/03
Rashida Baptiste,Rashida.Baptiste@mail.kkhair.net,02c8b309c7c3af25,1996/02/02
Tyrone Brathwaite,Tyrone.Brathwaite@kandk-hair.co,d45a235a40add9e8,1971-11-11
Rohan Campbell-Pérez,Rohan.Campbell-Prez@,13ee17c1c169ec99,1992/11/25
Sade St. Clair,SADE.CLAIR@kkhairemporium.com,45451d99e95346%^,1999/09/26
Chloë Holder Hernández,CHLO.HERNNDEZ@kkhairemporium.com,c2d29f438ad66132,1980/10/06
Kirsten  Best-Holder,Kirsten.Best-Holder@LOYALTY.KKHAIR.COM,aff14f4eaed19a06,1984/10/04
Anaïs Grant,Anas.Grant@kandk-hair.co,9a43461ec30912ae,1964/04/01
Khadija Johnson,Khadija.Johnson.824@loyalty.kkhair.com,dc5eb9a62e42e3e9,1996/10/02
Sade Charles,SADE.CHARLES@mail.kkhair.net,,
  José  Núñez    ,Jos.Nez@mail.kkhair.net,7dcacccd65f46cbd,1966-04-06
Tanesha  Best,TANESHA.BEST-722loyalty.kkhair.com,27f291a0fefadb99,1982/04/12
Renée Greenidge,Rene.Greenidge@kandk-hair.co,b18315ecf9f7ccf8,1994-01-01
Anaïs Forde-Williams,ANAS.FORDE-WILLIAMS@LOYALTY.KKHAIR.COM,53589e2e8da85281,1984/11/04
Keisha Forde,Keisha.Forde@@KANDK-HAIR.CO,ffdc270cf3ba9c12,1985-07-05
Chloë Grant,CHLO.GRANT@KKHAIREMPORIUM.COM,7214f0f17405193e,1960/09/26
 Jermaine Campbell  ,Jermaine.Campbell@MAIL.KKHAIR.NET,d7515f29bd07633b,2003/06/03
Sofía Charles,Sofa.Charles_739@mail.kkhair.net,c72ff1d46e5cb4e6,1979/03
 Latoya García  ,Latoya.Garca@kandk-hair.co,0d64b9720f95e0ee,1991/05
Mikaël Morris,Mikal.Morris@kandk-hair.co,bef3f9eb26e22c59,1961-11-26
Anaïs Joseph,Anas.Josephloyalty.kkhair.com,595545731a4e8b56,1958/02/10
Latoya Hernández,Latoya.Hernndez@kandk-hair.co,1678602e2c6fa1bc,1993/05/13 
 Noël Joseph  ,NOL.JOSEPH@kkhairemporium.com,99fe700489f39d5f,1976-12-15
Andre Grant,Andre.Grant.188@kkhairemporium.com,bfda5364763de234,1998/01/07 
Keisha  Clarke,Keisha.Clarke.526@kkhairemporium.com,65b0248bb5723066,1970/05/30
Jamal Greenidge,JAMAL.GREENIDGE@kkhairemporium.com,f3ce234cc352b6a6,1991-04-09
 Anaïs Forde  ,ANAS.FORDE@loyalty.kkhair.com,f8a01d3ceacee115,1982/03/10
Andre Clarke,Andre.Clarke@kkhairemporium.com,293a50a1edd80f0a,1990/1/6
Devon Alleyne,Devon.Alleyne@kkhairemporium.com,,
Kirsten van der Kringle,Kirsten.Kringle-675@KANDK-HAIR.CO,38f273aac7d64356,1994/06/05
Tanesha Charles,Tanesha.Charles@kkhairemporium.com,d182ffdad3582bda,1957/06/15
Anaïs Brathwaite,ANAS.BRATHWAITE-968@KANDK-HAIR.CO,def376689fc4d669,1971/12/28
José Best,Jos.Best-954@,42ad483a14f8bd98,1978/08/30
Mikaël Núñez,Mikal.Nez@mail.kkhair.net,605d27f3a093cb3a,1962/04/10
Rashida Singh,RASHIDA.SINGH@mail.kkhair.net,94b3b6fecf8d2db5,1993-03-21
Dwayne Ramdeen-Forde,Dwayne.Ramdeen-Forde@mail.kkhair.net,d9aee8a565283d00,1956/03
Rohan Forde,Rohan.Forde_925@kandk-hair.co,f91fcff710da28df,1986/02/09
D’Andre Baptiste,DAndre.Baptiste@KKHAIREMPORIUM.COM,0b8b5512ad3737f8,1986/11/14
Tyrone van der Kringle,Tyrone.Kringle@MAIL.KKHAIR.NET,74dddeb0e4022aac,1969/09/28
Kofi Pérez,Kofi.Prez@mail.kkhair.net,9629a500879d31b8,1986-10-20
 Anaïs Best  ,ANAS.BEST@mail.kkhair.net,e436ef15b3d33b91,1965/07/25 
Latoya Ramdeen,Latoya.Ramdeen@kandk-hair.co,e8250932616f0350,1973/06
Aaliyah Lewis,Aaliyah.Lewis@kkhairemporium.com,a8c31677fc381aZZ,1991/07/23
 Sofía Charles  ,Sofa.Charles@loyalty.kkhair.com,915292c348d6aa8e,1983/11/09 
Aaliyah  García,Aaliyah.Garca@kandk-hair.co,fb18f606c38f5652,1960-11-01
Andre Lewis,ANDRE.LEWIS@loyalty.kkhair.com,230fd0a873f7a1a7,1994/05/05
Shanice Greenidge,Shanice.Greenidge@loyalty.kkhair.com,2648bdfe5741149d,1987/2/4
 Chloë Núñez  ,Chlo.Nez@mail.kkhair.net,ac6c50b02b0349e6,1987-04-16
Sade Núñez,Sade.Nez@kandk-hair.co,4a7184f62f25cbfe,1988/07/17
Tanesha Charles,Tanesha.Charles@domain_with_space.kandk-hair.co,b29287332b16a6a8,1979/08
D’Andre Forde,DAndre.Forde@kandk-hair.co,ba7ddc9a0144acc6,1960/09/18
Rohan Campbell,ROHAN.CAMPBELL@kkhairemporium.com,f596e8604e2c7afe,1958/07/04
Tanesha Hernández,Tanesha.Hernndez@kandk-hair.co,ecac6c10834aefe2,1976/09/26
José Morris,Jos.Morris.831@kkhairemporium.com,620d00a6273551d3,1983/12/13
