Name,Email Address,Salt,Date of Birth
Shanice O'Connor,Shanice.OConnor@KKHAIREMPORIUM.COM,e805da846a32c3bb,1958/11/24
Renée Lewis,RENE.LEWIS@kandk-hair.co,78dcb74f21345d2c,1996/12/28
Devon Baptiste,Devon.Baptiste.442@loyalty.kkhair.com,e4d58e72e310275d,1974/03/06
Devon Baptiste,Devon.Baptiste@KKHAIREMPORIUM.COM,a86a78c49ea20e32,2000/05/20
 Tia Brathwaite  ,Tia.Brathwaite@mail.kkhair.net,3c681d06bd2aa399,1984/04/06
Khadija Baptiste,Khadija.Baptiste@loyalty.kkhair.com,2ed6cfc7403d75e1,1965/11/20
Mikaël Greenidge,Mikal.Greenidge@kkhairemporium.com,7ffe0297c79bfbda,1995/09/16
Dwayne  Clarke,Dwayne.Clarke-715@kandk-hair.co,18f32cf21449273d,1975/04/01
Andre Campbell,Andre.Campbell_947@loyalty.kkhair.com,99e3e9c8fe21da80,2006/08/09
D’Andre Morris,DANDRE.MORRIS@KANDK-HAIR.CO,eb9d8e96cf37cb__,1990/07/05
Keisha Núñez,Keisha.Nez.898@loyalty.kkhair.com,7cb2c083eb8cb3__,1984/06/05
Kirsten Ramdeen,Kirsten.Ramdeen-631@mail.kkhair.net,63e2601a7462667a,1955/04/03
Zoë Forde,Zo.Forde.227@kkhairemporium.com,ac9ed336de7daecd,1983/01/15
Kareem O'Connor,Kareem.OConnor-203@kandk-hair.co,2fe981b29ee11b92,1963/02/06
Marlon Grant,MARLON.GRANT@kkhairemporium.com,0cf1cb80b2b73a41,1985/05/16
Latoya Lewis De la Cruz,Latoya.Cruz@loyalty.kkhair.com,59a32a99ed5ebe1b,1994/01/08
Kofi Williams,Kofi.Williams@kandk-hair.co,69f6342e5e2ab299,1970/08/14
Kofi Williams,KOFI.WILLIAMS@mail.kkhair.net,a65fef9f02ce76%^,1997/03/21
Devon Morris,Devon.Morris-837@kkhairemporium.com,f19d54dbcecc24b3,2003/03/14
Chloë Morris,Chlo.Morris@kkhairemporium.com,ff00d00890d53347,2002/03/25
Devon Jean-Baptiste,Devon.Jean-Baptiste@mail.kkhair.net,7cac42b13d72aca0,1995/06/03
Jamal Forde Brathwaite,JAMAL.BRATHWAITE-460@MAIL.KKHAIR.NET,425d8d9f2b87f6e3,1955/08/10
Sade Alleyne,Sade.Alleyne@kandk-hair.co,fcd1b237b51cad30,1974/12/01
Jermaine O'Connor,JERMAINE.OCONNOR@kkhairemporium.com,e7c55dc06edc0668,1960/08/12
Anaïs De la Cruz,ANAS.CRUZ_321@KKHAIREMPORIUM.COM,55f945ae1b0f46cf,1999/02/11
Rashida García,RASHIDA.GARCA@domain_with_space.mail.kkhair.net,76bd54661b85a998,2001/02/24
Latoya Alleyne,Latoya.Alleyne@kkhairemporium.com,08611c9ddc248292,1973/03/25
Rohan Núñez,Rohan.Nez.632@kandk-hair.co,bac850a7081fb753,1976/08/20
Jermaine Clarke,Jermaine.Clarke@KKHAIREMPORIUM.COM,190a832a5c522af0,1969/10/20
Noël Dottin,NOL.DOTTIN_616@kkhairemporium.com,c30b993f2a8a8896,1976/07/23
Renée Joseph,Rene.Joseph@kkhairemporium.com,1f6fa70023f42238,1995/12/23
Zoë Morris,Zo.Morris@kandk-hair.co,a9e44d9a6669b45a,1986/08/08
Keisha Holder,Keisha.Holder@kandk-hair.co,90bef196a2350266,1993/01/21
 Kirsten Brathwaite St. Clair  ,Kirsten.Clair.600@KKHAIREMPORIUM.COM,49b04310c296b6d4,1974/10/22
José Joseph,Jos.Joseph@loyalty.kkhair.com,c6adb34d88db8c6d,2005/01/08
 Latoya Núñez  ,Latoya.Nez@#.kkhairemporium.com,751b70528cbcc602,2004/04/22
Rashida Jean-Baptiste,Rashida.Jean-Baptiste-488@kkhairemporium.com,9bafe2c9e45adc22,1975/06/23
Khadija De la Cruz,KHADIJA.CRUZ@loyalty.kkhair.com,c701f4b275f2a11b,2003/02/13
Kareem Charles,Kareem.Charles@kkhairemporium.com,7c6675d3bed355ca,2002/11/24
Shanice Grant,Shanice.Grant@loyalty.kkhair.com,af5f391c21abdd37,1956/01/10
Tyrone Williams,TYRONE.WILLIAMS@loyalty.kkhair.com,8da23ddbb6ab095b,1994/09/03
Rashida Baptiste,Rashida.Baptiste@mail.kkhair.net,02c8b309c7c3af25,1996/02/02
Sade St. Clair,SADE.CLAIR@kkhairemporium.com,45451d99e95346%^,1999/09/26
Chloë Holder Hernández,CHLO.HERNNDEZ@kkhairemporium.com,c2d29f438ad66132,1980/10/06
Kirsten  Best-Holder,Kirsten.Best-Holder@LOYALTY.KKHAIR.COM,aff14f4eaed19a06,1984/10/04
Anaïs Grant,Anas.Grant@kandk-hair.co,9a43461ec30912ae,1964/04/01
Khadija Johnson,Khadija.Johnson.824@loyalty.kkhair.com,dc5eb9a62e42e3e9,1996/10/02
Anaïs Forde-Williams,ANAS.FORDE-WILLIAMS@LOYALTY.KKHAIR.COM,53589e2e8da85281,1984/11/04
Chloë Grant,CHLO.GRANT@KKHAIREMPORIUM.COM,7214f0f17405193e,1960/09/26
 Jermaine Campbell  ,Jermaine.Campbell@MAIL.KKHAIR.NET,d7515f29bd07633b,2003/06/03
Keisha  Clarke,Keisha.Clarke.526@kkhairemporium.com,65b0248bb5723066,1970/05/30
 Anaïs Forde  ,ANAS.FORDE@loyalty.kkhair.com,f8a01d3ceacee115,1982/03/10
Andre Clarke,Andre.Clarke@kkhairemporium.com,293a50a1edd80f0a,1990/01/06
Kirsten van der Kringle,Kirsten.Kringle-675@KANDK-HAIR.CO,38f273aac7d64356,1994/06/05
Tanesha Charles,Tanesha.Charles@kkhairemporium.com,d182ffdad3582bda,1957/06/15
Anaïs Brathwaite,ANAS.BRATHWAITE-968@KANDK-HAIR.CO,def376689fc4d669,1971/12/28
Mikaël Núñez,Mikal.Nez@mail.kkhair.net,605d27f3a093cb3a,1962/04/10
Rohan Forde,Rohan.Forde_925@kandk-hair.co,f91fcff710da28df,1986/02/09
D’Andre Baptiste,DAndre.Baptiste@KKHAIREMPORIUM.COM,0b8b5512ad3737f8,1986/11/14
Tyrone van der Kringle,Tyrone.Kringle@MAIL.KKHAIR.NET,74dddeb0e4022aac,1969/09/28
Aaliyah Lewis,Aaliyah.Lewis@kkhairemporium.com,a8c31677fc381aZZ,1991/07/23
Andre Lewis,ANDRE.LEWIS@loyalty.kkhair.com,230fd0a873f7a1a7,1994/05/05
Shanice Greenidge,Shanice.Greenidge@loyalty.kkhair.com,2648bdfe5741149d,1987/02/04
Sade Núñez,Sade.Nez@kandk-hair.co,4a7184f62f25cbfe,1988/07/17
D’Andre Forde,DAndre.Forde@kandk-hair.co,ba7ddc9a0144acc6,1960/09/18
Rohan Campbell,ROHAN.CAMPBELL@kkhairemporium.com,f596e8604e2c7afe,1958/07/04
Tanesha Hernández,Tanesha.Hernndez@kandk-hair.co,ecac6c10834aefe2,1976/09/26
José Morris,Jos.Morris.831@kkhairemporium.com,620d00a6273551d3,1983/12/13
Kareem Morris Campbell,Kareem.Campbell@KANDK-HAIR.CO,7070397d7214bf96,1973/05/03
 Sade Browne  ,Sade.Browne_54@#.KANDK-HAIR.CO,7d5799e68f2bcc5f,2000/05/01
 Rohan Williams  ,Rohan.Williams@loyalty.kkhair.com,bfb1cd77f1b048e4,2006/11/20
Jamal van der Kringle,Jamal.Kringle@kandk-hair.co,55b546f53e656156,1991/09/04
Dwayne García,Dwayne.Garca-978@kkhairemporium.com,878f34f2a72accd7,1965/05/18
Jermaine van der Kringle,JERMAINE.KRINGLE@kandk-hair.co,f513ad4c7137cf95,1988/09/04
D’Andre Ramdeen,DANDRE.RAMDEEN@KANDK-HAIR.CO,a31465281239b5d0,1959/02/21
Rohan Ramdeen,Rohan.Ramdeen-267@mail.kkhair.net,4adc072833d2a2ba,1968/02/16
Rashida Singh,Rashida.Singh@KANDK-HAIR.CO,29da222725129f0d,1967/03/29
Andre Best,Andre.Best@kandk-hair.co,c691ef1b0ea9b30b,1971/09/14
  Kareem  Brathwaite    ,Kareem.Brathwaite@kandk-hair.co,66e32a9f64146d8b,1995/03/27
Rashida Dottin,Rashida.Dottin.224@kkhairemporium.com,1484817630bba284,1981/06/16
 Kirsten O'Connor  ,Kirsten.OConnor-362@loyalty.kkhair.com,d727b060bf431bb4,1967/12/07
 Shanice Williams  ,SHANICE.WILLIAMS@mail.kkhair.net,11550cde897d582c,1966/03/24
Shanice Campbell,SHANICE.CAMPBELL@loyalty.kkhair.com,290b9c6acb43ad%^,1997/10/15
Andre Hernández,Andre.Hernndez@kkhairemporium.com,bb225e8f8e43f1b9,1966/07/28
José Best,Jos.Best.204@kkhairemporium.com,d80e4e3166d5c6b6,2006/10/01
Kirsten Alleyne,Kirsten.Alleyne@kkhairemporium.com,e19d67ec36f3be%^,1975/02/02
 Kofi van der Kringle  ,Kofi.Kringle@mail.kkhair.net,5a6220d0402c04eb,1974/11/23
 Tia Johnson  ,TIA.JOHNSON@kkhairemporium.com,058360046b360a47,1966/05/10
Kirsten Hernández,Kirsten.Hernndez@kkhairemporium.com,d5b726bb4a30a0a6,1983/11/06
Sade Jean-Baptiste,Sade.Jean-Baptiste@mail.kkhair.net,2b7622f1606ec6f3,2002/05/03
Noël Ramdeen,NOL.RAMDEEN@kandk-hair.co,cda1e8b31cd696c5,2002/07/05
Tia Alleyne,TIA.ALLEYNE@kandk-hair.co,55ae40fda058250b,1955/02/02
Anaïs Holder,ANAS.HOLDER@mail.kkhair.net,db626c38e58bacd8,1958/09/08
D’Andre Grant Morris,DAndre.Morris@#.kkhairemporium.com,42846d2971fb7cdc,1963/10/21
José Brathwaite,Jos.Brathwaite@mail.kkhair.net,b491c4c0ee12183a,1981/01/25
Tia Joseph De la Cruz,Tia.Cruz@kandk-hair.co,bc2105733ffa7735,1989/06/16
Marlon Thompson,Marlon.Thompson@kkhairemporium.com,2a5f66fbb42edc22,2001/05/28
Chloë Clarke Greenidge,Chlo.Greenidge.837@loyalty.kkhair.com,2f48131f7bdf97ZZ,2002/12/04
Shanice Campbell,Shanice.Campbell@KKHAIREMPORIUM.COM,794cf32286fb7e9b,1981/04/04
Chloë Dottin,Chlo.Dottin-603@mail.kkhair.net,76c5d191b0a860ad,1960/02/15
Marlon Thompson,Marlon.Thompson@MAIL.KKHAIR.NET,4036ab6c14c227d3,2002/05/07
Kofi Campbell,Kofi.Campbell@kandk-hair.co,65e053d8f341d052,2002/06/27
Jermaine Núñez,Jermaine.Nez@mail.kkhair.net,d9aca5416d8a3b95,1979/07/27
Kareem Thompson,Kareem.Thompson@kandk-hair.co,83b272a5a8e2a1d3,2001/10/07
Jéssica Charles,Jssica.Charles@loyalty.kkhair.com,f4dc093d98ab5496,1988/04/22
José Johnson,JOS.JOHNSON@kandk-hair.co,c86243685834ca8f,1955/03/29
Mikaël St. Clair,MIKAL.CLAIR-855@kkhairemporium.com,a5b0cd1264825e18,2000/05/07
 Rohan van der Kringle  ,Rohan.Kringle@kandk-hair.co,6598e82fbbbe51c4,1973/11/24
Zoë Best,Zo.Best@mail.kkhair.net,75f6a49206ee7e75,1999/11/17
Dwayne Williams,Dwayne.Williams@mail.kkhair.net,c02a79674836bfe0,2002/01/08
Marlon St. Clair,MARLON.CLAIR@loyalty.kkhair.com,fe31a26f3e2f636f,1955/11/11
Tanesha Jean-Baptiste,TANESHA.JEAN-BAPTISTE@mail.kkhair.net,d93ea5637699af39,1973/11/12
Zoë Holder,ZO.HOLDER@mail.kkhair.net,6689b0adca66e832,1984/03/14
Sade Dottin,Sade.Dottin@kandk-hair.co,65ae7eba688043dd,1998/08/19
Rashida Dottin,Rashida.Dottin@mail.kkhair.net,aed0c90c007ad487,1984/04/20
Keisha Brathwaite,Keisha.Brathwaite@kandk-hair.co,6c1eec66c3253563,1987/02/25
Kirsten Jean-Baptiste,Kirsten.Jean-Baptiste@MAIL.KKHAIR.NET,1169bd5d5545b350,1982/06/17
Keisha Johnson,KEISHA.JOHNSON@mail.kkhair.net,b3ff64744723c937,1971/07/25
Aaliyah Brathwaite-Thompson,Aaliyah.Brathwaite-Thompson@kandk-hair.co,c392a7e17480f777,1994/07/04
Jamal Browne Charles,Jamal.Charles@#.loyalty.kkhair.com,e54e013993b553f6,1985/04/08
Jamal Jean-Baptiste,Jamal.Jean-Baptiste@mail.kkhair.net,f3afc9f9116295a1,1959/03/27
Latoya Baptiste,LATOYA.BAPTISTE.826@kkhairemporium.com,be61cc492756aeZZ,2002/06/02
Anaïs Alleyne,ANAS.ALLEYNE@kkhairemporium.com,b7495c85b0d941ed,2003/07/31
Devon Thompson,Devon.Thompson@mail.kkhair.net,a5cd5e06c584c64d,1977/01/16
Dwayne García-Singh,Dwayne.Garca-Singh@KANDK-HAIR.CO,cfcf50be5e0fbaZZ,1981/12/03
Noël Núñez,Nol.Nez@mail.kkhair.net,20d7612ca6f6f5f9,1960/06/30
Sade Joseph,Sade.Joseph@mail.kkhair.net,0abf48afa6639169,1988/09/25
Jamal Núñez,Jamal.Nez@kandk-hair.co,c0dac5a19a114f22,1964/03/04
Jamal Dottin,JAMAL.DOTTIN@kkhairemporium.com,cc09f0d216167f0b,1988/01/10
