Name,Email Address,Salt,Date of Birth
Khadija Baptiste,KHADIJA.BAPTISTE@loyalty.kkhair.com,b4d419b1b673bd47,1970/11/19
Renée Holder,RENE.HOLDER@loyalty.kkhair.com,c752344fd8be7e12,1958-06-08
Tyrone Forde,Tyrone.Forde@kkhairemporium.com,2b7fdd13888ad8__,1998/07
 Latoya Brathwaite  ,Latoya.Brathwaite@mail.kkhair.net,cc18cabdda4b86f9,1995/05/12
Anaïs Hernández,Anas.Hernndez@loyalty.kkhair.com,7f0348598d5d65b3,1980/11/27
Keisha Ramdeen,Keisha.Ramdeen@kkhairemporium.com,7d8949a229bee1e2,1971/01
Anaïs Charles,Anas.Charles.635@kandk-hair.co,8cd419af4f38e48c,1963/01/13
Kareem Alleyne,Kareem.Alleyne@kandk-hair.co,4f98f1c6d2a4fca9,1968-12-06
Noël Best,Nol.Best@kkhairemporium.com,a57a3d675d8f2112,1996/09/23
Sade Joseph,Sade.Joseph@loyalty.kkhair.com,9cbd92a9d6a3eaf6,1961/02/05
Shanice Forde,SHANICE.FORDE@mail.kkhair.net,18363acf274360b9,2003/08/02
Dwayne Forde,Dwayne.Forde@mail.kkhair.net,b2b2feb26f8a625e,1978/12/18
Kareem Williams,Kareem.Williams@loyalty.kkhair.com,a2e190faa60b6caf,2001/10
D’Andre Brathwaite,DAndre.Brathwaite@loyalty.kkhair.com,2b1e973cc03d32ab,1994-03-07
Kofi St. Clair,Kofi.Clair@mail.kkhair.net,83599b9de626e2f8,1955/01/18
Dwayne Williams,Dwayne.Williams@kandk-hair.co,ebe473d24427a332,1973-08-12
Tyrone Pérez,TYRONE.PREZ@mail.kkhair.net,36f6924a27dc96d9,1993/05/10 
Zoë Baptiste,Zo.Baptiste@kandk-hair.co,526cf2d17792fec0,1999/3/29
Kirsten  De  la  Cruz,Kirsten.Cruz@loyalty.kkhair.com,ecc78083e88eda54,1990/12/26
Shanice Campbell,Shanice.Campbell@kandk-hair.co,8fcb602ec5e187a4,2001/08/08
Devon Clarke,Devon.Clarke@kkhairemporium.com,4414a26005b1229e,1994/12
Aaliyah  Dottin,Aaliyah.Dottin@loyalty.kkhair.com,f2a34a8b7a77a92d,1974/12/29
Kofi Singh,Kofi.Singh@kkhairemporium.com,55686be6a9b54a2f,1998/8/12
Latoya García,Latoya.Garca@kandk-hair.co,f631495c9ad78d9b,1963/12/06
 Chloë Best  ,Chlo.Best.422@loyalty.kkhair.com,a022db7c8e0cddff,1963/11/21
Keisha Dottin,KEISHA.DOTTIN@kkhairemporium.com,b034ad86874edf2a,1971/07/09
Jermaine Charles-O'Connor,Jermaine.Charles-OConnor@kkhairemporium.com,3b6b6ea5f2ecc3c5,1972/01
Keisha Singh,Keisha.Singh.738@loyalty.kkhair.com,2fa6412120f5744f,1994/06/16
José Joseph,Jos.Joseph@kkhairemporium.com,fe5fd640bb2be08b,1971/12/07
Mikaël Forde,Mikal.Forde@mail.kkhair.net,8f2795229e9ceaf7,1983-05-31
Zoë Baptiste,Zo.Baptiste@kandk-hair.co,526cf2d17792fec0,1999/3/29
Kofi Singh,Kofi.Singh@kkhairemporium.com,55686be6a9b54a2f,1998/8/12
Sade Joseph,Sade.Joseph@loyalty.kkhair.com,9cbd92a9d6a3eaf6,1961/02/05
Shanice Campbell,Shanice.Campbell@kandk-hair.co,8fcb602ec5e187a4,2001/08/08
 Chloë Best  ,Chlo.Best.422@loyalty.kkhair.com,a022db7c8e0cddff,1963/11/21
Dwayne Williams,Dwayne.Williams@kandk-hair.co,ebe473d24427a332,1973-08-12
Tyrone Pérez,TYRONE.PREZ@mail.kkhair.net,36f6924a27dc96d9,1993/05/10 
José Joseph,Jos.Joseph@kkhairemporium.com,fe5fd640bb2be08b,1971/12/07
Kareem Williams,Kareem.Williams@loyalty.kkhair.com,a2e190faa60b6caf,2001/10
Anaïs Charles,Anas.Charles.635@kandk-hair.co,8cd419af4f38e48c,1963/01/13
Kofi St. Clair,Kofi.Clair@mail.kkhair.net,83599b9de626e2f8,1955/01/18
Shanice Forde,SHANICE.FORDE@mail.kkhair.net,18363acf274360b9,2003/08/02
Kirsten  De  la  Cruz,Kirsten.Cruz@loyalty.kkhair.com,ecc78083e88eda54,1990/12/26
Keisha Singh,Keisha.Singh.738@loyalty.kkhair.com,2fa6412120f5744f,1994/06/16
Noël Best,Nol.Best@kkhairemporium.com,a57a3d675d8f2112,1996/09/23
Aaliyah  Dottin,Aaliyah.Dottin@loyalty.kkhair.com,f2a34a8b7a77a92d,1974/12/29
Devon Clarke,Devon.Clarke@kkhairemporium.com,4414a26005b1229e,1994/12
Mikaël Forde,Mikal.Forde@mail.kkhair.net,8f2795229e9ceaf7,1983-05-31
Dwayne Forde,Dwayne.Forde@mail.kkhair.net,b2b2feb26f8a625e,1978/12/18
Khadija Baptiste,KHADIJA.BAPTISTE@loyalty.kkhair.com,b4d419b1b673bd47,1970/11/19
Keisha Dottin,KEISHA.DOTTIN@kkhairemporium.com,b034ad86874edf2a,1971/07/09
Jermaine Charles-O'Connor,Jermaine.Charles-OConnor@kkhairemporium.com,3b6b6ea5f2ecc3c5,1972/01
Tyrone Forde,Tyrone.Forde@kkhairemporium.com,2b7fdd13888ad8__,1998/07
Renée Holder,RENE.HOLDER@loyalty.kkhair.com,c752344fd8be7e12,1958-06-08
 Latoya Brathwaite  ,Latoya.Brathwaite@mail.kkhair.net,cc18cabdda4b86f9,1995/05/12
Latoya García,Latoya.Garca@kandk-hair.co,f631495c9ad78d9b,1963/12/06
Anaïs Hernández,Anas.Hernndez@loyalty.kkhair.com,7f0348598d5d65b3,1980/11/27
Kareem Alleyne,Kareem.Alleyne@kandk-hair.co,4f98f1c6d2a4fca9,1968-12-06
D’Andre Brathwaite,DAndre.Brathwaite@loyalty.kkhair.com,2b1e973cc03d32ab,1994-03-07
Keisha Ramdeen,Keisha.Ramdeen@kkhairemporium.com,7d8949a229bee1e2,1971/01
