original_index, Password 12582,Account Branch   ,Loyalty Pointsnsuef ,Gender  ,Signup Date 2018 ,Total Purchases  
0,BD#dz*,Oistins,20267.0,Non-binary,2018/01/17,45.0
1,CPhDeOZIiBOB@Y6s,Spanish Town,11146.0,Female,2017-09-03,64.0
2,UNEhEk,Basseterre,23194.0,Female,2017/03/14,92.0
3,mhZRnF,Sandy Point,8690.0,Prefer not to say,2016-05-04,7.0
4,EZpFfk,Warrens,5169.0,Prefer not to say,2017/12/03,81.0
5,Hu42bojt,Vieux Fort,24086.0,Male,2017/04/11,84.0
6,doHwHen3SO,Spanish Town,24514.0,Male,2018/08/10,86.0
7,lENCzsdfF8,Montego Bay,20075.0,Prefer not to say,2017/10,10.0
8,1XcW9aTM,Montego Bay,12422.0,Non-binary,2018/08/21,69.0
9,Eq8oB7GV,Bridgetown,14205.0,Non-binary,2017-05-17,11.0
10,BTHRJJb%ykE0,Castries,24342.0,Male,2017/02/01,46.0
11,bK894R,Montego Bay,18632.0,Female,2018/07/11,60.0
12,2o*CtIsj,Gros Islet,17005.0,Prefer not to say,2016/08,42.0
13,Z$a*70,Chaguanas,9563.0,Non-binary,2016/10,35.0
14,SQ*W6PyEXD0f,Chaguanas,12452.0,Non-binary,2017/09,5.0
15,E@sD7G6Gb7K*,Castries,19892.0,Non-binary,2016/03/09,93.0
16,G9LRo7js,Kingston,4580.0,Female,2018/07/18,95.0
17,B44EUmV*Th,Basseterre,21661.0,Female,2016-09-16,67.0
18,M6dh9Z2n!4jkPsiq,Bridgetown,2989.0,Female,2017/11/06,52.0
19,t9CnSVoJ,Gros Islet,23645.0,Non-binary,2018/11/15,55.0
20,rGLPpa@3,Warrens,3468.0,Male,2016/08/21,24.0
21,w@75PO,Vieux Fort,21359.0,Male,2016/06/21,22.0
22,gQiQmXKGtQksSNYq,Oistins,11035.0,Male,2017-08-06,100.0
23,,,,,,
24,&c$EsL2aTE1xk^Ui,Castries,2067.0,Prefer not to say,2018/11/21,104.0
25,Z4XRx@@V%Ik2,Charlestown,24572.0,Male,2018/01/20,72.0
26,Fodx@%XpHH,Bridgetown,16188.0,Female,2018/03,92.0
27,qxq3#hp%tM,San Fernando,20254.0,Female,2018/05/01,26.0
28,nOE7pI5FsmgLX1Fu,Vieux Fort,11985.0,Prefer not to say,2018/03/02,97.0
29,Usz$Z#fferQ8%6t$,Charlestown,20611.0,Prefer not to say,2016/11/06,26.0
30,,,,,,
31,PKhlD&ew1w,Spanish Town,11046.0,Non-binary,2018/09/04,31.0
32,hp7NuZ#N,Bridgetown,10751.0,Prefer not to say,2018/07/17,53.0
33,2Si*hi,Chaguanas,23563.0,Prefer not to say,2016/02/02,8.0
34,hr#LDOPE,Oistins,4730.0,Prefer not to say,2017/06/06,82.0
35,B9AQMbByp9FAYEPK,Warrens,18670.0,Male,2018/09/27,113.0
36,itbB#6Vh,Sandy Point,15040.0,Male,2016/06/18,55.0
37,*ewOcAsYjM,Vieux Fort,19197.0,Prefer not to say,2016-11-11,40.0
38,lPXbL0XkF%vWvrIM,Gros Islet,21333.0,Male,2018/10,100.0
39,d7A4Li0@rMEGt2Wj,Montego Bay,12816.0,Prefer not to say,2018/12/03,60.0
40,vF%wuQ,Bridgetown,14993.0,Female,2017-12-21,79.0
41,s$X1rX2x!&,Kingston,9571.0,Female,2016/08/21,69.0
42,Me5HSl4p,Gros Islet,21492.0,Male,2016/07/09,95.0
43,i&YB2B@IPK,Castries,12184.0,Male,2018/09/03,75.0
44,nnOVMr,Spanish Town,2760.0,Male,2017/08/28,100.0
45,X1U*w8jc,Montego Bay,22894.0,Prefer not to say,2016-10-08,20.0
46,Q2I^iH,San Fernando,8135.0,Prefer not to say,2016/05,110.0
47,F7V @z*Fta0dD*SbQ,Vieux Fort,18606.0,Female,2017/02/19,98.0
48,luMfBP,Basseterre,2112.0,Male,2018/02/22,22.0
49,9hlJXr1z^F*cWT9*,Castries,5770.0,Male,2016/12/25,11.0
50,Phcsso^U,Oistins,1061.0,Male,2016/12/09,11.0
51,1v0@WS*Wm9Cu,Castries,6225.0,Prefer not to say,2018/01/08,11.0
52,NY8!Hl,Gros Islet,17123.0,Prefer not to say,2016/10/28,96.0
53,HOilXYPJ,Port of Spain,1615.0,Prefer not to say,2017/04/11,95.0
54,h$uiN#Zr^d,Port of Spain,8475.0,Female,2017/07/05,65.0
55,J2WS6GB7M%,Oistins,834.0,Prefer not to say,2017/03/31,81.0
56,xQlCTCN1QV,San Fernando,20677.0,Male,2016/06/29,55.0
57,ycaFCSNqnX#NvifM,Chaguanas,1592.0,Female,2016/01/20,84.0
58,on@zzH%zT0,Bridgetown,1292.0,Non-binary,2018/06,34.0
59,voqhun194xWT,Oistins,5142.0,Prefer not to say,2018/07/06,63.0
60,M$A6RU,Port of Spain,12874.0,Male,2016/10,0.0
61,nXP#X1FJ,Sandy Point,418.0,Female,2016/11,87.0
62,CXE$KgWX1OgbGz4C,Vieux Fort,1666.0,Non-binary,2016/11/22,68.0
63,boS5EFfPWoXG,Chaguanas,5038.0,Female,2017/06/13,57.0
64,nLMlK4WYd8u&CrY*,San Fernando,21124.0,Female,2017/04/25,79.0
65,2vaOFC3JUr,Bridgetown,18074.0,Non-binary,2018/03/23,1.0
66,fC!DiHVDfA,Spanish Town,4553.0,Prefer not to say,2016/08/30,53.0
67,,,,,,
68,m2rG9DkK*0Gyaa%p,Warrens,18928.0,Non-binary,2016-01-11,105.0
69,%Khw@4bz%Kye,Kingston,19869.0,Male,2017/11,102.0
70,,,,,,
71,Yw6p%6ObbA,Charlestown,22479.0,Male,2017-10-08,38.0
72,UGSc0pSz&w,Gros Islet,14578.0,Non-binary,2016/07/29,119.0
73,DFK4qq^vde,San Fernando,17534.0,Female,2018/06/14,20.0
74,0yixrLo65I,Port of Spain,10821.0,Female,2016/03/09,94.0
75,%pG9MzUgBoE3PbvJ,Warrens,24025.0,Male,2017/08/26,62.0
76,,,,,,
77,jMjB%m,Warrens,13511.0,Prefer not to say,2018/11/26,113.0
78,tme6TtrHUFDGMlZB,Gros Islet,17692.0,Male,2017/03/30,100.0
79,r9z!Yz^F,Chaguanas,2811.0,Female,2017/03/09,66.0
80,GvhKzI,Gros Islet,16054.0,Prefer not to say,2016/03,35.0
81,NQ5*qAr*zrN^,Spanish Town,18580.0,Male,2018/03/04,17.0
82,!P6F2ZfWOY&^,Spanish Town,14801.0,Female,2017/02,11.0
83,k^X$uWWfvQ,Gros Islet,13439.0,Prefer not to say,2017/03/01,18.0
84,uKw6UelM,Bridgetown,20129.0,Prefer not to say,2016-08-29,26.0
85,#PaoQRYdwy,Basseterre,11113.0,Prefer not to say,2018/10,47.0
86,9#tyR9,Port of Spain,10514.0,Male,2017/07/14,79.0
87,R*4gqd8gnX,Sandy Point,6008.0,Non-binary,2018-04-10,101.0
88,,,,,,
89,VgaToK,Port of Spain,4496.0,Prefer not to say,2018-10-17,30.0
